ROGATE-VICARAGE,,,,,,,,,,
Grid ref,SU811240,Long,-0.84538054,Lat,51.009676,Elevation,210,ft,,
Station no,460/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.82,5.24,3.01,4,3.74,3.94
February,,,,,1.99,0.17,5.2,2.77,0.13,3.71
March,,,,,1.62,0.46,1.74,1.57,3.29,1.89
April,,,,,0.34,1.69,0.17,0.74,2.82,1.01
May,,,,,4.61,0.2,1.33,3.16,0.58,1.16
June,,,,,2.3,2.48,1.91,2.87,0.94,1.93
July,,,,,0.91,3.22,4.23,2.02,3.26,3.85
August,,,,,0.8,4.31,2.76,4.15,2.5,4.45
September,,,,,2.09,4.75,3.07,5.96,0.09,4.45
October,,,,,4.86,1.51,2.07,2.74,2.99,9.46
November,,,,,2.79,0.76,3.08,1.89,4.63,6.48
December,,,,,4.4,6.15,2.8,3.99,8.33,4.5
Total,,,,,30.53,30.94,31.37,35.86,33.3,46.83
