HOLLESLEY-MANOR,,,,,,,,,,,,,,,,,,,,
Grid ref,TM343462,Long,1.416838,Lat,52.064586,Elevation,65,ft,,,,,,,,,,,,
Station no,RR6805,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,0.31,0.82,2.24,1.25,1.98,3.48,1.49,1.82,,,,
February,,,,,,,,,1.8,1.68,2.29,0.65,1.06,0.53,1.4,2.85,,,,
March,,,,,,,,,2.67,3.39,1.7,1.69,2.47,1.47,3.64,1.23,,,,
April,,,,,,,,,2.21,1.48,1.91,0.89,0.13,2.2,1.01,1.08,,,,
May,,,,,,,,,1.15,1.29,2.92,0.51,0.46,1.7,0.95,2.2,,,,
June,,,,,,,,,0.55,2.64,2.32,1.47,2.29,1.04,0.79,0.51,,,,
July,,,,,,,,,3.88,2.9,2.18,0.28,2.08,1.48,1.35,,,,,
August,,,,,,,,,1.59,2.52,2.44,0.34,5.6,0.89,0.43,,,,,
September,,,,,,,,,1.55,1.69,0.82,1.61,2.41,0.95,0.83,,,,,
October,,,,,,,,,0.91,4.9,0.73,2.96,1.64,3.43,2.39,,,,,
November,,,,,,,,,1.47,0.72,3.08,4.02,1.81,2.17,2.44,,,,,
December,,,,,,,,,1.39,3.57,3.65,4.4,1.83,0.92,5.21,,,,,
Total,,,,,,,,,19.48,27.6,26.28,20.07,23.76,20.26,21.93,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1915 Jul Gauge moved,,,,,,,,,,,,,,,,,,,,
