HOLLESLEY-MANOR (GOBBLECOCK HALL),,,,,,,,,,
Grid ref,TM331470,Long,1.3999102,Lat,52.072272,Elevation,74,ft,,
Station no,RR6805,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,4.49,,,,
August,,,,,,1.49,,,,
September,,,,,,3.68,,,,
October,,,,,,1.66,,,,
November,,,,,,2.1,,,,
December,,,,,,4.31,,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1915 Jul Gauge moved,,,,,,,,,,
