NOTTINGHAM-WOODTHORPE (WOODTHORPE GRANGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK582434,Long,-1.1345415,Lat,52.984788,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2611/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,1.89,2.41,1.95,3,1.68,0.75,1.74,,1.87,1.16,1.54,1.8,,,,,,,,,,,,,,,
February,,,,2.49,1.42,2.85,0.29,0.49,1.37,1.67,1.07,0.79,1.15,2.63,2.35,,,,,,,,,,,,,,,
March,,,,0.91,1.46,0.9,2.48,1.81,2.88,5.13,1.9,1.42,0.71,0.44,0.91,,,,,,,,,,,,,,,
April,,,,2.38,1.64,1.61,1.74,1.34,3.86,3.34,0.51,2.39,0.76,0.43,1.41,,,,,,,,,,,,,,,
May,,,,1.64,0.8,1.43,5.42,1.91,0.41,4.37,2.95,3.06,2.95,2.56,1.86,,,,,,,,,,,,,,,
June,,,,3.89,0.92,2.85,1.09,0.52,0.97,0.46,2.2,3.82,3.27,0.99,2.11,,,,,,,,,,,,,,,
July,,,,2.83,4.14,0.29,4,1.14,5.43,4,3.2,2.59,2.32,2.91,2.59,,,,,,,,,,,,,,,
August,,,,1.17,2.09,1.97,2.13,0.95,3.44,3.14,3.57,3.93,2.9,1.07,2.67,,,,,,,,,,,,,,,
September,,,,5.08,1.21,3.36,1.11,2.64,1.17,3.12,1.78,1.28,3.34,1.97,0.57,,,,,,,,,,,,,,,
October,,,,2.24,0.73,6.38,5.39,1.67,0.66,4.39,1.36,5.22,4.05,1.78,2.75,,,,,,,,,,,,,,,
November,,,,3.48,1.14,2.66,1.6,1.65,4.38,0.97,3.92,2.73,1.39,1.41,2.31,,,,,,,,,,,,,,,
December,,,,1.12,2.12,0.7,3.42,1.74,2,2.27,0.87,3.37,0.84,2,2.47,,,,,,,,,,,,,,,
Total,,,,29.12,20.08,26.95,31.67,17.54,27.32,34.6,,32.47,24.84,19.73,23.8,,,,,,,,,,,,,27.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 Jan estimated as gauge blown over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 said to be too large.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
