KENDAL ST GEORGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD513928,Long,-2.7501,Lat,54.3289,Elevation,146,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.99,4.47,1.55,2.9,3.91,5.93,1.82,8.63,6.19,0.75,0.43,1.62,2.28,1.63,14.76,5.35,3.94,3.43,1.71,5.32,8.13,3.46,3.5,5.29,5.8,3.91,6.84,2.35,3.11,8.49,3.55,10.06,9.89,6.7,5.15,0.57,4.33,4.52,3.17,6.52,8.71,3.74,4.75,7.72,5.17,4.6,7.33,6.56,4.09,5.34,5.67,2.85,9.87,9.44,6.76,8.44,3.73,8.94,5.69,1.93,0.8,0.46,4.11,8.76,8.07,3.31,5.45,3.97,2.92,4.74,9,4.16,6.87,2.01,5.51,2.7,4.2,1.04,6.06,8.48
February,2.71,0.16,7.28,5.52,2.9,5.53,10.77,2.7,4.63,1.23,4.77,8.21,4.26,4.58,5.72,8.82,3.92,5.84,1.01,5.74,4.96,3.02,2.72,1.04,4.54,2.18,3.4,2.92,10.24,2.36,7.95,3.74,7.91,1.08,2.99,1.12,5.34,3.93,0.47,4.02,2.6,5.74,1.05,3.32,3.97,4.8,6.16,5.23,6.67,8.4,3.29,5.04,5.93,0.65,3.1,1.43,6.75,4.03,2.96,3.61,4.27,5.31,5.42,3.21,3.51,6.03,1.63,2.64,0.95,3.62,0.86,0.78,1.93,7.36,9.3,0.97,3.34,4.65,5.5,4
March,1.86,5.74,9.02,3.05,6.3,2.96,2.26,8.68,2.44,0.87,5.05,6.03,3.55,2.07,5.17,5.05,6.34,1.98,4,6.07,0.41,3.52,5.98,1.9,6.02,4.83,6.18,2.13,4.91,0.94,0.94,3.33,0.21,2.14,2.65,3.43,0.36,3.66,2.9,5.62,5.8,7.95,5.1,1.37,3.73,1.79,3.53,2.11,7.06,1.42,2.85,2.66,5.61,3.3,4.38,1.73,4.8,2.95,2.58,3.54,3.3,6.8,5.49,1.64,3.93,5.22,5.86,1.96,3.42,3.37,5.1,2.2,1.23,1.74,4.06,5.51,6.98,8.36,1.38,3.23
April,0.75,5.5,2.34,3.23,2.38,2.21,2.75,2.55,4.01,3.51,5.66,2.44,2.23,3.75,1.04,1.59,2.84,1.61,2.95,1.26,1.88,2.44,0.55,7.72,2.86,3.28,3.65,2.39,1.12,1.21,5.18,1.95,1.11,3.08,0.69,1.6,2.38,1.66,2.2,3.9,2.09,0.55,5.12,3.56,2.26,1.21,1.61,5.76,3.08,3.98,2.06,3.26,2.19,0.51,1.96,1.69,2.95,2.86,3.15,1.67,1.78,2.29,4.49,2.11,1.23,2.84,3.88,3.01,2.25,2.1,1.74,2.24,1.35,0.86,1.71,2.79,1.98,2.94,4.7,4.86
May,4.88,2.76,2.28,7.04,0.68,4.1,0.37,3.48,1.96,1.98,2.83,0.72,1.6,2.53,1.64,3.06,0.05,1.2,2.13,0.71,3.25,4.81,3.26,3.7,0.14,1.4,1.63,5.26,1.4,2.22,2.2,1.15,4.05,0.8,3.25,1.6,3.11,2.42,3.16,0.12,2.72,0.71,4.7,3.83,1.86,6.56,1.86,2.42,2.06,2.73,4.87,1.83,2.73,2.52,1.05,2.63,0.98,2.97,4.88,1.89,1.97,4.76,2.94,2.5,4,2.4,5.57,1.55,2.41,4,2.75,2.28,5.9,2.56,3.74,1,0.41,2.25,2.67,4.56
June,2.67,0.59,1.58,3.42,2.03,6.33,0.75,4.26,3.08,4.2,5.29,2.68,4.64,7.72,6.7,1.25,8,3.61,2.89,3.1,2.77,2.52,4.38,5.12,3.76,4.12,2.83,3.86,5.2,1.14,3.81,5.09,4.98,3.08,4.41,3.78,4.57,3.99,1.41,2.02,7.79,3.01,4.54,5.37,3.63,0.56,3.01,2.17,0.81,1.75,1.58,1.98,4.65,2.69,1.21,5.28,3.94,2.94,3.77,6.15,4.45,5,5.35,4.91,0.87,2.43,1.89,0.31,2.35,0.79,4.01,1.02,3.81,1.08,3.25,2.84,3.19,3.45,3.1,1.59
July,4.01,2.37,8.34,7.86,1.72,0.7,3.55,3.17,3.5,5.57,4.96,4.08,2.64,2.23,5.05,6.26,9.05,4.73,6.07,8.46,6.37,4.59,5.88,5.26,3.25,2.83,7.45,3.05,4.52,5.42,4.68,4.88,3.45,6.83,2.77,4.05,2.01,3.05,3.31,1.76,2.47,6.88,4.3,0.54,3.31,1.96,3.17,3.79,0.56,1.61,1.25,7.67,4.8,7.3,2.98,2.4,3.42,6.19,0.55,6.12,6.69,7.12,8.28,2.09,4.01,3.88,6.15,2.9,6.26,3.57,4.46,3.66,2.03,4.71,3.55,7.75,4.28,1.61,0.8,3.25
August,8.15,4.43,4.3,7.75,2.98,4.56,4.6,5.21,5.58,9.38,4.22,3.9,4.43,1.97,6.17,3.11,3.76,3.11,7.63,7.28,5.49,7.04,3.13,6.37,3.45,4.14,4.45,3.33,4.11,4.81,5.74,4.6,7.62,2.68,5.13,4.9,6.33,2.22,3.37,5.22,6.2,8.31,4.73,4.47,3.55,7.1,5.22,3.49,6.16,1.88,1.74,6.99,4.64,5.9,7.4,3.06,3.95,5.93,4.37,5.44,1.37,7.56,4.49,4.45,1.17,3.33,2.48,2.08,4.16,5.09,5.16,10.2,9.54,4.93,4.83,6.91,2.45,5.33,8.95,2.63
September,6.63,7.24,2.87,5.74,5.62,6.62,3.45,3.33,4.5,5.24,8.03,6.39,2.3,3.53,4.91,7.81,5.9,4.18,2.71,7.44,6.76,4.97,1.51,0.4,5.38,4.51,1.57,3.6,3.19,4.21,2.06,2.12,2.12,3.52,3.27,1.41,3.16,2.91,7.24,7.34,3.71,5.85,2.05,7.66,6.12,1.78,9.77,5.22,2.69,10.97,3.09,3.94,8.18,2.94,5.76,5.75,4.95,4.41,5.4,4.09,4.53,3.05,3.37,4.4,4.53,5.58,6.98,4.05,1.61,2.23,4.82,7.07,10,6.27,0.33,1.24,6.43,6.1,2.05,5.29
October,4.25,6.58,8.49,6.22,7.6,6.99,4.36,3.01,4.92,6.68,4.69,11.81,8.35,3.75,4.72,4.39,3.97,5.32,7.03,3.3,1.82,6.68,2.92,7.88,4.21,7.42,7.84,6.72,6.99,7.33,3.65,6.23,3.67,5.01,4.47,7.37,0.54,2.94,5.37,2.76,8.06,3.53,10.56,6.33,3.04,5.2,2.92,5,6,3.59,10.25,6.65,7.57,8.36,12.6,3.33,4.15,8.61,5.38,2.74,1.25,3.05,3.67,5.98,3.36,4.2,7.49,2.23,5.81,6,3.25,5.37,5.4,6.17,4.42,5.67,4.46,2.92,5.04,4.1
