?KENDAL ST GEORGES,,,,,,,,,,,,,,,,,,,,
Grid ref,SD513928,Long,-2.7501,Lat,54.3289,Elevation,146,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,4.35,3.05,4.52,9.17,4.58,6.32,,,,,,,
February,,,,,,,,2.77,0.9,3.79,0.97,0.86,1.98,,,,,,,
March,,,,,,,,2.04,3.47,3.54,5.23,2.21,1.17,,,,,,,
April,,,,,,,,3.09,2.26,2.33,1.47,2.2,1.73,,,,,,,
May,,,,,,,,1.65,2.47,4.31,2.3,2.69,6.07,,,,,,,
June,,,,,,,,0.37,2.25,0.88,3.76,1.16,3.81,,,,,,,
July,,,,,,,,2.94,6.55,3.83,5.41,3.69,2.2,,,,,,,
August,,,,,,,,1.99,4.06,5.81,5.03,9.77,6.85,,,,,,,
September,,,,,,,,4.2,1.79,2.19,4.88,7.99,9.28,,,,,,,
October,,,,,,,,2.36,6.03,5.94,3.45,4.67,5.62,,,,,,,
November,,,,,,,,3.4,5.75,3.24,6.77,5.02,5.01,,,,,,,
December,,,,,,,,4.18,5.67,4.59,0.46,9.57,2.95,,,,,,,
Total,,,,,,,,33.34,44.25,44.97,48.9,54.41,52.99,,,,,,,
