CATERHAM-WHITE-KNOBS-WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ344547,Long,-0.07327,Lat,51.276,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,83/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.8,2.81,4.35,6.03,2.81,2.88,2.99,2.51,4.45,1.41,1.26,4.03,2.81,1.6,1.94,3.65,5.04,2.84,3.33,3.8,3.11
February,,,,,,,,,,2.97,3.6,0.89,2.17,1.05,2.18,3.15,1.68,2.36,1.49,5.64,7.8,1,1.84,2.83,2.13,0.64,4.63,2.57,0.13,2.82
March,,,,,,,,,,3.97,3.72,2.72,0.33,0.09,1.31,1.7,7.08,0.64,1.25,1.69,4.26,4.2,0.56,2.86,1.61,1.06,1.66,2.04,2.57,1.96
April,,,,,,,,,,2.47,2.78,1.7,1.38,2.05,1.63,2.45,2.08,1.62,2.01,4.46,3.32,1.83,2.73,0.45,0.36,1.77,0.25,1.22,2.6,0.86
May,,,,,,,,,,1.63,2.28,4.05,2.77,0.55,3.07,3.46,1.73,2.11,1.95,1.28,2.48,1.63,2.11,3.41,4.58,0.32,1.86,2.25,0.98,1.87
June,,,,,,,,,,0.56,2.66,0.1,1.83,1.74,2.11,3.59,2.71,3.46,1.21,1.63,1.6,1.82,1.85,5.21,2.21,3.69,1.58,4.91,1.51,1.67
July,,,,,,,,,,3.08,2.71,2.37,2.15,2.71,3.61,2.33,1.75,1.86,2.02,3.22,2,0.84,4.14,4.12,0.31,5.04,3.45,1.88,1.4,4.08
August,,,,,,,,,,0.12,5.65,3.01,1.23,3.42,2.36,5.83,0.26,6.48,1.35,2.21,5.41,3.7,2.48,3.71,1.8,3.52,2.73,3.46,1.11,3.24
September,,,,,,,,,,2.15,0.93,1.99,1.99,2.88,2.64,4.53,1.68,2.46,0.53,3.95,3.05,3.36,3.89,2.71,2.86,3.29,3.26,6.76,0.17,4.46
October,,,,,,,,,,4.44,1.86,3.97,3.61,4.94,4.72,1.61,0.33,2.21,7.91,0.4,1.32,3.89,4.83,2.5,4.99,1.52,2.13,4.04,3.44,7.54
November,,,,,,,,,,9.82,3.59,1.89,2.25,6.1,0.48,5.2,1.36,2.34,3.5,7.28,6.51,3.91,1.85,6.16,1.37,1.02,3.03,2.37,3.33,6.2
December,,,,,,,,,,2.31,3.33,3.18,2.29,2.34,3.82,3.43,2.76,4.78,1.54,2.79,3.67,3.23,0.88,2.15,3.17,4.68,3.05,3.89,6.31,4.17
Total,,,,,,,,,,36.32,35.92,30.22,28.03,30.68,30.81,40.27,25.93,34.77,26.17,35.81,45.45,32.22,28.76,38.05,29.04,31.59,30.47,38.72,27.35,41.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Not printed High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Not printed High ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 May 17th Gauge moved 10ft S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 New gauge at beginning of July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
