CONISTON TOWER RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SD288945,Long,-3.0966659,Lat,54.341061,Elevation,400,ft,,,,,,,,,,,,
Station no,RR4333,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,18.87,5.1,17.58,8,3.47,4.5,2.03,5,11.76,10.2,6.12,8.52,6.72,,
February,,,,,,2.63,8.88,5.85,4.6,6.02,10.28,6.08,5.31,6.08,6.13,9.82,2.4,4.13,,
March,,,,,,0.99,5.19,4.15,4.1,5.53,5.47,8.53,4.83,1.63,5.74,6.78,7.9,3.15,,
April,,,,,,1.95,3.49,4.35,4.9,2.06,2.57,5.45,7.15,3.11,1.2,2.76,4.1,3.47,,
May,,,,,,3.33,0.61,2.1,5.31,3,2.92,5.23,2.81,3.3,4.45,2.14,6.4,2.96,,
June,,,,,,5.02,5.5,3.26,3.8,6.32,5.46,6.4,5.49,4.7,4.35,1.93,2.93,0.85,,
July,,,,,,3.64,2.78,10.32,1.25,10.49,7,7.65,11.68,2.93,6.62,5.18,7.3,3.56,,
August,,,,,,4.77,7.45,6.37,6.3,8.17,2.35,8.75,6.65,7.19,1.15,2.2,3.21,1.79,,
September,,,,,,10.77,8.25,7.8,8.1,8.56,6.55,3,4.07,5.94,7.3,9.28,9.46,6.83,,
October,,,,,,6.56,6.94,13.29,4,5.6,2.7,4,5.95,6.71,5.13,7.9,8.42,5.43,,
November,,,,,,7.62,4.28,11.42,7.3,2.54,9.1,7.65,10.46,9.78,3.84,7.54,7.4,4.92,,
December,,,,,,5.22,12.27,10.28,1,7.18,6.45,8.5,6.07,7.27,8.3,4.06,9.48,6.79,,
Total,,,,,,71.37,70.74,96.77,58.66,68.94,65.35,73.27,75.47,70.4,64.41,65.71,77.52,50.6,,
