MOUNTAIN ASH DARRANLAS RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST043990,Long,-3.3844,Lat,51.6821,Elevation,552,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.61,2.79,13.86,6.51,3.25,4.08,9.49,6.48,2.14,3.28,2.84,12.85,7.57,4.48,3.44,10.77,11.38,1.84,11.06,3.84,4.48,3,8.47,2.23,7.83,11.37,4.4,6.35,6.81,1.6,7.1,9.43,11.36,9.35,5.4,3.52,8.21,7.79,10.21,6.57,13.4,2.67,13.72,5.43,15.25,6.67,7.7,1.27,8.44,11.22,11.34,11.5,4.13,4.95,6.77,13.51,8.84,4.94,10.14,6.91,15.44,2.18,2.02,8.96,7.32,1.83,3.36,6.11,9.04,11.34,6.95,9.16,8.95,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.83,2.21,1.48,0.09,3.22,11.06,7.53,0.08,1.15,5.55,3.1,6.56,10.15,2.47,3.23,5.69,8.5,1.79,5.39,3.32,3.4,0.97,9.35,6.84,6.2,4.83,12.21,12.62,9.35,1.4,5.85,5.33,3.43,0.15,7.54,14.54,0.59,10.69,5.35,4.52,6.96,2.22,0.8,5.39,0.09,6.6,0.68,7.36,2.71,10.42,2.76,5.73,6.22,6.99,0.46,4.5,1.28,8.5,6.34,1.79,4.28,3.91,12.34,7.95,1.12,2.29,7.67,3.18,0.48,9.71,8.78,0.33,7.55,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,6.76,4.07,3.48,2.36,1.83,0.73,7.48,6.73,7.29,8.8,1.38,3.02,1.42,5.34,2.52,12.8,2.94,9.44,3.84,3.34,6.09,5.81,2.59,2.18,11.91,11.79,10.08,1.37,3.17,3.86,3.76,7.98,10.5,8.24,7.32,2.61,3,0.98,1.01,5.46,6.57,1.27,3.35,0.88,4.19,5.82,4.77,1.23,5,3.47,0.37,3.13,5.89,4.51,5.25,1.32,0.35,3.72,2.6,11.75,4.1,2.09,5.61,6.78,4.67,5.07,6.51,4.08,2.39,8.33,1.63,6.58,3.25,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.98,3.76,2.04,4.57,1.41,0.22,3.77,4.59,1.06,6.73,3.64,6.44,2.98,7.89,3.59,2.41,3.68,5.17,1.33,4.26,3.54,4.66,3.96,3.59,0.48,10.58,2.93,1.75,2.79,3.02,2.75,2.55,9.26,1.2,3.41,3.57,5.57,3.22,3.22,1.8,1.59,0.5,4.1,4.27,5.44,2.18,3.14,7.69,3.03,4.37,0.22,4.7,4.25,1.71,3.61,1.73,4.12,4.17,1.69,6.84,3.5,5.79,3.83,5.46,5.36,5.14,0.99,2.33,1.64,0.24,1.29,6.21,4.59,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,3.72,4.09,3.41,6.17,2.34,5.4,4.52,1.16,0.06,2.45,4.97,4.58,4.07,1.95,2.67,5.16,3.51,0.41,4.87,4.37,4.15,2.2,3,2.97,1.81,3.5,3.31,3.25,4.09,3.64,2.06,1.17,4.93,2.6,1.2,2.94,6.13,6.66,3.01,2.02,0.63,5.31,2.51,5.16,7.11,1.82,2.26,1.25,1.82,2.25,5.82,1.19,1.88,3.35,9.73,7.5,4.14,5.21,4.42,2.8,4.58,6.51,2.64,3.73,5.21,4.09,4.12,7.2,1.8,3.07,5.75,2.7,2,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.96,0.4,3.94,3.19,3.52,1.94,3.85,1.14,2.34,3.4,3.06,1.74,4.17,3.09,3.15,1.94,1.44,4.87,2.97,6.31,1.37,3.22,6.71,3.97,7.11,2.75,2.23,2.16,3.8,2.93,3.59,2.36,3.1,1.16,1.24,0.63,2.96,0,2.17,3.93,4.38,4.26,1.93,6.01,3.02,2.84,1.89,6.87,4.91,1.92,4.42,4.65,0.8,2.57,0.28,5.02,4.24,6.33,5.93,3.04,7.13,1.01,2.47,2.21,3.5,4.65,7.19,7.35,3.37,1.38,4.41,3.24,3.68,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,9,5.2,4.3,3.14,3.58,4.85,5.37,8.08,3.11,3.24,0.93,0.84,3.95,1.67,2.17,3.19,6.59,2.27,1.01,4.46,4.89,3.02,4.79,0.41,6.27,0.55,7.1,6.98,2,3.92,7.31,1.2,7.55,2.8,6.25,2.91,7.64,3.3,2.99,6.27,2.64,4.71,5.14,6.62,4.97,4.46,1.78,1.04,9.47,4.1,5.38,15.59,6.38,3.38,4.22,4.27,3.69,4.73,2.87,3.27,2.43,1.74,8.36,1.76,3.72,7.57,3.85,2.5,6.27,5.63,5.3,5.03,8.04,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,5.09,5.08,5.04,11.94,6.69,5.11,4.28,6.95,3.01,9.44,6.47,1.58,7.01,4.72,3.34,9.93,4.03,6.02,4.13,5.01,8.22,2.08,8.83,4.54,12.9,2.34,4.82,2.79,5.4,13.34,3.27,4.65,3.1,5.03,4.12,5.56,6.55,6.69,4.86,7.72,5.47,4.13,6.92,6.76,1.21,1.54,5.05,2.54,1.14,0.79,5.91,3.94,0.47,7.25,6.83,6.3,5.57,3.63,10.76,0.6,8.06,3.32,10.09,8.07,7.99,6.33,6.95,1.67,6.86,5.44,4.84,1.8,5.54,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.12,2.12,2.14,4.43,5.4,4.21,2.4,2.16,11.93,6.6,2.64,3.57,3.35,4.44,3.37,6.15,3.85,4.85,1.38,1.37,4.8,5.82,0.28,4.33,1.13,3.27,3.34,1.3,3,4.02,13.92,3.04,4.67,2.87,3.88,5.95,9.31,4.52,1.44,6.61,1.52,2.01,7.21,2.7,6.18,2.69,4.88,9.27,4.33,2.57,3.01,0.99,2.88,1.12,5.21,5.85,6.77,5.32,10.61,3.01,7.21,3.44,9.53,5.77,3.42,7.43,10.09,2.44,7.51,9.9,11.3,0.35,6.28,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.9,6.17,2.48,13.98,5.3,6.38,9.86,4.88,7.82,3.72,8.77,5.38,9.02,3.62,5.64,18.18,2.65,3.39,11.17,8.8,4.68,13.69,5.01,5.68,7.5,5.61,3.83,4.81,14.72,8.78,5.33,2.31,5.78,2.72,2.09,11.59,7.52,9.71,5.57,6.1,13.76,10.2,10.01,1.36,11.58,8.54,5.81,6.66,3.2,3.5,12,5.33,10.96,6.47,4.45,6.39,9.23,8.71,1.35,1.95,6.24,13.19,3.36,1.45,8.14,4.75,13.16,4.6,2.27,6.98,7.86,7.52,8.57,,,,,,,,,,,,,,,,,,,,
