AYR (AIRTHREY),,,,,,,,,,,,,,,,,,,,
Grid ref,NS338223,Long,-4.630527,Lat,55.466221,Elevation,40,ft,,,,,,,,,,,,
Station no,5254/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,3.46,4.66,2.43,3.95,2.79,2.61,4.32,,,
February,,,,,,,,,,,3,1.59,1.09,3.22,1.8,0.92,2.26,,,
March,,,,,,,,,,,2.83,1.72,0.7,2.4,1.44,1.71,3.92,,,
April,,,,,,,,,,3.54,2.56,1.31,1.29,1.14,2.4,1.05,2.29,,,
May,,,,,,,,,,1.47,1.82,1.42,1.66,1.95,3.32,2.02,1.55,,,
June,,,,,,,,,,2.31,1.73,2.57,0.68,2.75,2.48,2.06,1.66,,,
July,,,,,,,,,,4.32,2.09,2.71,5.39,4.23,1.61,4.36,3.73,,,
August,,,,,,,,,,3.5,3.88,5.77,2.83,3.55,1.8,6.74,4.32,,,
September,,,,,,,,,,8.92,2.59,2.88,3.67,5.47,3.85,3.41,3.53,,,
October,,,,,,,,,,3.68,0.83,3.31,3.06,8.04,1.99,3.3,,,,
November,,,,,,,,,,3.41,4.88,2.23,5.59,5.34,1.98,1.36,,,,
December,,,,,,,,,,1.7,6.59,3.88,4.05,4.69,4.73,4.33,,,,
Total,,,,,,,,,,,36.26,34.05,32.44,46.73,30.19,33.87,,,,
