DORKING-HOLMBURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ104425,Long,-0.4217,Lat,51.1719,Elevation,560,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.24,7.03,2.27,3.46,1.12,2.28,1.93,3.45,3.21,2.64,4.52,2.5,1.46,1.86,3.95,2.86,,,,,,,,
February,,,,,,,3.19,2.52,2.48,4.78,3.92,3.75,1.86,5.21,1.94,3.78,0.74,0.97,1.56,3.37,0.91,0.06,,,,,,,,
March,,,,,,,3.77,3.56,1.32,1.31,0.92,2.9,1.8,1.2,2.29,2.32,2.05,2.07,4.55,2.85,2.48,2.86,,,,,,,,
April,,,,,,,2.66,3.29,3.3,3.58,2.64,0.5,3.04,1.64,1.74,1.28,2.18,2.07,2.25,2.79,3.29,0.84,,,,,,,,
May,,,,,,,1.08,2.93,5.02,4.1,0.38,1.86,1.95,2.4,0.61,4.23,3.98,1.69,2.02,3.96,1.69,2.98,,,,,,,,
June,,,,,,,2.54,1.33,1.6,5.66,3.61,1.89,2.85,2.09,1.7,2.1,0.97,0.86,3.8,1.04,3.19,1.64,,,,,,,,
July,,,,,,,0.54,5.05,2.53,5.48,4.85,2.46,3.92,3.93,2.39,0.38,3.46,0.91,4.94,1.68,4.26,3.06,,,,,,,,
August,,,,,,,3.43,4.38,5.93,6.27,2.26,6.7,1.32,1.2,2,1.15,1.99,2.71,2.72,2.82,2.85,6.5,,,,,,,,
September,,,,,,,5.22,1.99,1.74,3.76,5.4,2.86,3.28,3.92,3.39,6.42,1.95,3.12,1.44,1.11,1.27,1.76,,,,,,,,
October,,,,,,,2.46,2.51,3.63,2.06,6.63,2.93,7.22,3.11,1.58,4.6,3.85,1.96,1.85,6.37,1.5,7.81,,,,,,,,
November,,,,,,,3.32,7.76,4.78,1.81,4.21,5.36,3.8,4.41,1.71,3.86,4.16,6.02,5.26,1.24,2.92,3.76,,,,,,,,
December,,,,,,,8.47,2.88,2.12,0.95,4.29,4.2,3.54,0.92,3.12,1.79,4.48,2.02,2.55,2.19,0.83,4.61,,,,,,,,
Total,,,,,,,37.92,45.23,36.72,43.22,40.23,37.69,36.51,33.48,25.68,34.55,34.33,26.9,34.4,31.28,29.14,38.74,,,,,,,,
