"DAER (KIRKHOPE) NEW SITE",,,,,,,,,,,,
Grid ref,NS963055,Long,-3.636236,Lat,55.332577,,,,,,,
Station no,5185/8/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,7.63,6.83,6.11,9.42,-999.00,4.05,7.48,,
February,,,,7.78,3.68,2.19,5.57,6.97,3.18,9.46,,
March,,,,6.06,3.27,4.37,6.36,2.83,6.65,3.46,,
April,,,,2.07,4.10,1.73,4.75,2.23,6.27,7.79,,
May,,,,6.64,5.73,3.78,4.41,5.24,2.18,3.15,,
June,,,,7.76,4.40,5.88,2.09,4.35,5.42,4.62,,
July,,,,7.36,3.06,7.59,5.52,5.58,6.56,5.28,,
August,,,,7.48,2.42,9.62,6.51,5.47,1.69,6.28,,
September,,,,11.21,6.70,7.20,5.45,7.85,2.37,5.22,,
October,,,,16.28,5.39,5.28,7.44,7.02,7.58,5.55,,
November,,,,14.62,4.45,3.82,2.94,3.46,13.49,12.76,,
December,,,,10.01,9.87,11.83,7.36,7.52,13.09,7.15,,
Total,,,,104.90,59.90,69.40,67.82,67.92,72.53,78.20,,
Calc annual,0.00,0.00,0.00,104.90,59.90,69.40,67.82,58.52,72.53,78.20,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,9.40,0.00,0.00,,
