"NEWTOWNBUTLER (CROM CASTLE)",,,,,,,,,,,,
Grid ref,IH356241,Long,-7.455656,Lat,54.164797,,,,,,,
Station no,6184,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.93,4.35,1.65,2.31,4.64,2.86,5.75,5.01,2.81,4.11,,
February,3.46,1.08,1.60,4.71,3.46,1.52,2.65,3.79,1.32,3.46,,
March,3.19,2.24,0.48,4.55,0.78,2.36,4.23,1.83,3.15,2.83,,
April,2.20,1.30,1.50,0.82,2.61,0.87,2.01,1.61,3.24,3.33,,
May,1.73,2.18,2.99,3.28,3.49,1.42,2.12,3.56,1.82,2.81,,
June,3.20,2.93,0.95,2.00,4.08,3.19,1.78,6.61,2.21,2.94,,
July,3.63,1.92,5.00,4.27,1.56,5.79,4.03,5.92,3.61,6.65,,
August,4.89,4.09,4.20,3.36,0.73,6.76,5.10,5.54,1.24,6.04,,
September,2.94,1.50,3.72,4.90,4.04,4.31,3.74,4.40,2.48,3.53,,
October,1.14,3.95,2.47,6.80,2.76,3.30,4.90,3.73,6.29,2.90,,
November,3.85,1.70,3.52,5.28,3.23,2.26,0.93,2.29,4.28,4.84,,
December,4.38,3.42,3.59,4.00,3.92,5.41,4.59,4.80,6.88,4.38,,
Total,38.54,30.66,31.67,46.28,35.30,40.05,41.83,49.09,39.33,47.82,,
Calc annual,38.54,30.66,31.67,46.28,35.30,40.05,41.83,49.09,39.33,47.82,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
