"NEWTOWNBUTLER (CROM CASTLE)",,,,,,,,,,,,
Grid ref,IH3560024100,Long,-7.455656,Lat,54.164797,,,,,,,
Station no,6184,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.93,4.11,,
February,,,,,,,,,2.74,1.01,,
March,,,,,,,,,4.59,4.14,,
April,,,,,,,,,2.50,4.48,,
May,,,,,,,,,3.51,2.04,,
June,,,,,,,,5.44,2.39,2.12,,
July,,,,,,,,,2.79,3.43,,
August,,,,,,,,,2.28,1.92,,
September,,,,,,,,,7.10,2.40,,
October,,,,,,,,,0.91,5.25,,
November,,,,,,,,,3.98,1.77,,
December,,,,,,,,,3.88,4.45,,
Total,,,,,,,,,40.60,37.12,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.44,40.60,37.12,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
