LINCOLN - TENTERCROFT STREET,,,,,,,,,
Grid ref,SK975708,Long,-0.541,Lat,53.225,Elevation,23,ft,
Station no,RR2654,,,,,,,,
,,,,,,,,,
,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.95,2.98,2.26,1.52,2.65,2.40,0.66,1.63
February,,1.33,2.84,1.36,2.76,0.31,0.46,1.25,1.87
March,,1.20,1.21,1.51,1.12,2.73,1.40,2.27,2.91
April,1.10,3.37,1.58,1.02,1.45,0.94,1.09,2.00,2.17
May,1.42,2.44,1.90,0.93,1.75,3.01,1.62,0.66,3.80
June,1.44,3.57,7.05,0.39,2.29,0.67,0.30,1.22,0.55
July,2.05,2.38,3.32,2.80,0.38,2.47,0.94,5.52,1.94
August,5.39,4.16,1.38,1.32,2.47,2.74,1.75,2.45,3.72
September,2.12,3.40,4.56,1.25,3.36,1.52,2.51,1.65,1.90
October,2.02,4.96,2.94,0.95,4.05,3.90,2.25,0.45,4.45
November,2.34,2.74,2.78,1.01,2.29,1.89,1.83,2.73,0.42
December,2.26,3.98,1.18,2.23,1.02,3.31,1.07,1.00,1.29
Total,,35.48,33.72,17.03,24.46,26.14,17.62,21.86,26.65
,,,,,,,,,
TYRain_1880-1889_08_pt1/047,,,,,,,,,
,,,,,,,,,
# The gauge came from Carholme Villas in late March 1881.,,,,,,,,,
