"SOUTHAM, SHUCKBURGH PARK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP497619,Long,-1.273368,Lat,52.253038,Elevation,555,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798
January,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,1.62,1.58,-999,-999,2.38,,
February,,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,,
March,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,,
April,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,,
May,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,,
June,,,,,,,,,,4.46,,,,,,,,,,,,,,,,,,,,,,,1.02,0.73,-999,-999,0.7,,
July,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,2.49,0.74,-999,0.92,2.94,,
August,,,,,,,,,,2.84,,,,,,,,,,,,,,,,,,,,,,,2.88,1.95,-999,0.91,1.07,-999,
September,,,,,,,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,3.85,4.1,2.08,0,,-999,
October,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,1.86,1.02,2.68,-999,,,
November,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,2.29,0.59,1.65,,-999,,,
December,,,,,,,,,,2.46,,,,,,,,,,,,,,,,,,,,,,1.36,1.65,0.89,,2.65,,,
Total,,,,,,,,,30.34,23.06,,,,,,,,,,,,,,,,,,,,,,,23.92,16.67,,17.13,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768 total not transcribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792 Feb-May total 7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793 Feb-May total 4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794 Jan-Aug total 10.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795 Jan-June total 8.92; Oct-Nov total 3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796 Feb-May total 2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797  Aug-Sept total 2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
