HAREFIELD-SELLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR033567,Long,0.913215,Lat,51.27317,Elevation,219,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,3.5,3.42,2.75,2.02,3.11,5.19,3.31,1.8,3.85,1.12,6.97,1.51,3.1,0.24,1.46,1.37,2.02,2.38,2.8,5.23,1.82,0.93,0.89,2.59,3.25,0.56,3.12,3.27,2.7,1.14,3.82,0.5,2.96,4.06,1.15,1.48,2.76,4.34,1.19,3.56,1.07,1.75,0.87,3.06,1.92,3.22,4.49,0.79,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.22,1.27,2.48,1.13,1.75,1.06,2.68,1.5,0.97,2.96,1.66,1.66,4.15,2.89,1.7,1.57,3.9,2.01,3.12,0.79,0.61,2.18,2.67,0.94,0.03,2.26,4.76,1.73,0.7,0.31,2.23,1.2,3.15,6.08,2.03,1.35,1.67,3.35,1.05,2.59,1.97,1.62,1.23,4.06,1.45,2.19,0.95,4.07,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.87,2.67,1.05,1.65,2.18,1.48,2.52,1.83,0.85,0.83,2.73,3.09,2.62,0.86,0.49,1.72,1.7,1.68,1.67,1.43,1.38,1.76,4.3,2.09,2.85,3.73,2.42,0.46,1.42,1.56,2.98,4.36,2.26,1.15,1.72,2.52,1.77,2.58,2.24,3.34,1.72,0.77,2.91,4.38,2.19,2.53,4.41,2.92,6.2,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.33,1.23,1.88,1.22,0.52,2.75,1.84,1.23,2.4,1.61,2.68,2.54,1.29,3.1,1.87,0.57,3.61,2.37,1.67,1.26,1.82,2.3,1.29,2.39,2.75,0.53,1.87,0.02,2.36,1.91,1.07,1.54,1.25,3.08,1.62,2.25,0.59,2.51,1.29,2.9,1.57,3,2.96,1.88,2.01,1.99,0.08,3.05,1.72,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.74,3.1,0.76,3.63,1.5,0.71,4.29,1.57,1.28,1.18,2.96,2.5,4.14,2.97,0.29,1.34,1.51,2.46,0.58,2.89,2.84,2.16,0.82,2.23,1.53,3.12,0.58,0.62,2.58,0.21,0.2,1.1,4.41,2.16,1.09,0.88,2.16,3.74,2.13,1.53,2.28,2.34,2.21,1.18,3.47,1.18,0.86,1.05,1.36,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.66,1.41,0.23,0.9,0.4,3.2,2.83,2.79,2.05,2.16,1.76,0.98,1.63,3.18,3.15,3.79,3.23,1.42,1.11,1.09,0.48,1.54,2.71,2.95,2.24,2.44,3.02,1.02,2.42,0.43,3.6,2.86,2.96,1.2,3.2,0.99,2.66,4.79,1.44,6.53,3.24,2.34,0.78,3.86,3.91,2.36,3.44,1.06,1.02,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.19,4.02,0.54,0.26,1.19,2.33,3.58,1.74,1.32,5.69,0.86,2.82,1.26,4.16,2.73,1.32,2.43,2.3,1.42,0.22,3.07,1.38,5.09,1.78,4.63,3.67,2.23,2.52,5.36,3.38,1.42,0.5,0.8,0.97,1.13,2.62,1.67,5.96,1.89,0.85,0.61,1.73,2.88,2.93,2.43,0.27,1.53,2.4,3.17,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,3.23,1.12,2.66,1.62,1.74,1.81,1.6,1.67,2.1,2.27,2.8,3.05,3.13,3.95,1.44,4.11,2.01,0.82,0.68,0.96,1.77,1.96,1.6,2.51,4.27,3.52,4.69,1.11,2.59,1.96,4.05,2.91,1.73,0.67,2.49,1.94,4.17,3.9,2.76,2.26,0.38,1.64,3.95,2.94,2,1.65,6.62,1.39,0.72,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,4.52,1.54,2.44,3.15,2.96,4.37,1.76,2.25,3.26,2.15,3.53,1.82,1.34,3.27,3.73,2.84,3.76,3.25,4.12,4.69,1.96,2.94,0.95,1.96,1.47,1.04,2.01,2.67,3.3,0.66,4.85,2.78,0.59,2.7,0.96,1.31,1.68,2.21,1.71,2.19,2.1,0.4,2.91,4.05,1.03,1.56,3.55,1.7,0.84,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,0.96,1.94,2.29,2.1,4.15,1.01,4.41,4.27,3.35,4.77,1.8,2.45,3.77,0.8,8.23,4.46,6.33,1.99,2.2,4.63,2.98,2.28,1.95,7.19,1.16,5.54,7.13,3.03,4.78,3.8,6.26,0.43,2.26,3.42,1.79,2.81,2.2,5.13,2.07,2.31,3.46,5.8,1.97,6.92,2.16,6.18,3.77,4.38,3.43,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
