VOELAS-NEW-GAUGE,,,,,,,,,,
Grid ref,SH851515,Long,-3.7154924,Lat,53.048376,Elevation,700,ft.,,
Station no,4321,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,12.45
December,,,,,,,,,,7.09
Total,,,,,,,,,,
,,,,,,,,,,
"NGR is same as Old Gauge, a note on the record says a suitable site is 40 to 50 yards NNW and 30 ft. higher.",,,,,,,,,,
