"SKYE (DUNTULM, KILMUIR)",,,,,,,,,,,,
Grid ref,NG399718,Long,-6.362511,Lat,57.660705,,,,,,,
Station no,5760/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.65,5.63,3.85,4.87,4.61,4.25,8.89,7.24,5.38,3.16,,
February,3.64,2.60,4.15,4.50,3.88,2.94,3.79,3.25,3.00,3.54,,
March,3.05,4.37,2.37,4.58,1.80,1.63,5.24,2.63,3.26,1.82,,
April,4.56,2.97,4.88,2.12,2.95,2.93,2.85,2.54,4.74,3.34,,
May,0.42,2.47,2.61,3.43,3.28,4.64,2.11,6.87,1.22,2.92,,
June,2.18,4.23,2.10,5.86,5.82,3.10,3.26,1.63,4.15,4.44,,
July,6.13,3.00,5.27,3.41,1.32,6.26,4.24,1.75,7.18,3.00,,
August,3.56,5.03,5.79,4.33,1.31,4.55,5.90,3.62,4.21,3.51,,
September,3.96,5.82,3.88,5.17,8.32,4.33,3.95,4.33,3.59,3.73,,
October,6.68,6.43,7.20,8.64,7.64,5.59,7.97,6.35,6.26,2.00,,
November,5.32,4.40,9.94,8.22,3.39,5.58,3.70,3.01,8.24,6.96,,
December,9.18,6.62,5.62,5.99,7.38,6.37,7.18,2.87,8.55,7.08,,
Total,56.33,53.57,57.66,61.12,51.70,52.17,59.08,46.09,59.78,45.50,,
Calc annual,56.33,53.57,57.66,61.12,51.70,52.17,59.08,46.09,59.78,45.50,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
