"SKYE (DUNTULM, KILMUIR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG399718,Long,-6.362511,Lat,57.660705,Elevation,294,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5760/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,9.9,7.15,6.08,5.69,3.71,5.32,6.33,3.96,1.46,1.69,5.14,5.13,7.14,4.56,7.77,3.56,5.65,6.66,4.46,7.65,5.63,3.85,4.87,4.61,4.25,8.89,7.24,5.38,3.16
February,,0.86,3.12,1.56,4.44,2.35,3.68,4.39,6.9,3.49,4.07,3.54,5.83,3.32,5.26,5.05,0.24,4.43,5.7,5.49,3.64,2.6,4.15,4.5,3.88,2.94,3.79,3.25,3,3.54
March,,2.42,2.03,1.71,3.34,2.79,2.04,6.05,4.73,3.35,2.78,2.54,2.94,4.5,4.81,2.76,2.25,3.77,3.08,5.32,3.05,4.37,2.37,4.58,1.8,1.63,5.24,2.63,3.26,1.82
April,,3.44,3.51,5.16,2.71,1.52,1.84,0.96,2.52,2.95,2.52,1.35,4.56,2.07,2.7,3.1,8.38,3.36,5.12,4.57,4.56,2.97,4.88,2.12,2.95,2.93,2.85,2.54,4.74,3.34
May,,1.82,1.2,3.14,1.42,1.91,2.87,3.66,2.08,2.62,0.86,1.63,3.33,4.61,3.39,1.62,2.43,1.49,4.55,1.96,0.42,2.47,2.61,3.43,3.28,4.64,2.11,6.87,1.22,2.92
June,,1.83,3.21,2.92,4.07,1.67,2.99,5,1.56,2.28,1.59,3.07,2.97,4.98,4.49,5.76,3.71,3.66,2.08,4.04,2.18,4.23,2.1,5.86,5.82,3.1,3.26,1.63,4.15,4.44
July,,4.93,3.06,4.84,3.41,3.33,3.56,3.9,9.26,5.82,4.95,5.9,5.43,1.86,5.51,7.72,3.33,4.16,2.11,3.74,6.13,3,5.27,3.41,1.32,6.26,4.24,1.75,7.18,3
August,,4.27,6.2,4.42,5.45,3.87,4.5,4.74,2.95,5,5.26,5.85,6.43,4.77,3.68,4.54,0.2,5.55,6.58,5.66,3.56,5.03,5.79,4.33,1.31,4.55,5.9,3.62,4.21,3.51
September,,5.34,1.03,7,5.75,3.03,5.24,4.7,2.44,4.68,2.68,6.43,3.82,3.75,5.41,7.6,7.85,8.74,4.39,9.62,3.96,5.82,3.88,5.17,8.32,4.33,3.95,4.33,3.59,3.73
October,,6.34,4.07,6.16,7.56,5.28,3.09,10.27,2.53,6.01,4.75,8.19,9.21,6.88,4.3,0.92,3.18,7.61,8.33,5.74,6.68,6.43,7.2,8.64,7.64,5.59,7.97,6.35,6.26,2
November,,5.03,1.98,4.03,3.93,4.12,2.32,8.52,7.77,9.17,4.78,4.49,5.71,5.31,1.19,8.67,8.17,6.31,6.32,6.63,5.32,4.4,9.94,8.22,3.39,5.58,3.7,3.01,8.24,6.96
December,,4.5,2.77,4.91,2.58,6.93,3.25,5.51,3.15,5.61,4.32,8.92,3.43,6.08,5.74,5.29,3.42,7.98,8.99,2.88,9.18,6.62,5.62,5.99,7.38,6.37,7.18,2.87,8.55,7.08
Total,,50.68,39.33,51.93,50.35,40.51,40.7,64.03,49.85,52.44,40.25,57.05,58.79,55.27,51.04,60.8,46.72,62.71,63.91,60.11,56.33,53.57,57.66,61.12,51.7,52.17,59.08,46.09,59.78,45.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5760/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,726520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
