SKYE KILMUIR,,,,,,,,,,
Grid ref,NG399718,Long,-6.362511,Lat,57.660705,Elevation,275,ft,,
Station no,5760/4,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,3.22,4.99,,,
February,,,,,,0.4,2.24,,,
March,,,,,,2.5,5.5,,,
April,,,,,,2.5,3.64,,,
May,,,,,,1.78,1.34,,,
June,,,,,,2.34,3.24,,,
July,,,,,,4.47,5.41,,,
August,,,,,,4.83,,,,
September,,,,,,4.56,,,,
October,,,,,2.6,6.9,,,,
November,,,,,8.74,4.09,,,,
December,,,,,6.11,3.14,,,,
Total,,,,,,40.73,,,,
,,,,,,,,,,
Station no,5760/4,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
