"SKYE, DUNTULM",,,,,,,,,,,,,,,,,,,,,
Grid ref,NG 41361 74177,Long,-6.340649,Lat,57.682837,Elevation,50,ft,,,,,,,,,,,,,
Station no,5760/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,5.97,9.9,,,,,,,,
February,,,,,,,,,,,,4.48,,,,,,,,,
March,,,,,,,,,,,,0.91,,,,,,,,,
April,,,,,,,,,,,,2.82,,,,,,,,,
May,,,,,,,,,,,,2.86,,,,,,,,,
June,,,,,,,,,,,,4.24,,,,,,,,,
July,,,,,,,,,,,1.1,3.97,,,,,,,,,
August,,,,,,,,,,,5.55,1.44,,,,,,,,,
September,,,,,,,,,,,2.67,1.04,,,,,,,,,
October,,,,,,,,,,,7.75,4.52,,,,,,,,,
November,,,,,,,,,,,5.95,5.67,,,,,,,,,
December,,,,,,,,,,,5.6,4.1,,,,,,,,,
Total,,,,,,,,,,,,42.02,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5760/5,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
