CARLUKE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS841506,Long,-3.847344,Lat,55.734882,Elevation,630,ft,,,,,,,,,,,,
Station no,5168/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4.71,3.05,3.33,3.11,3.11,3.01,5.74,3.01,1.79,3.2,3.31,1.35,3.55,1.91,1.72,4.47,2.84,0.92,2.92
February,,1.22,2.76,0.98,4.13,1.98,0.63,2.93,3.04,3.21,2.26,0.94,1.26,2.1,1.45,1.1,2.43,2.14,1.14,2.58
March,,1.81,1.84,0.52,2.29,1.76,1.95,2.45,0.87,2.57,2.08,1.54,0.62,1.43,1.36,1.61,2.62,1.12,1.53,1.72
April,,1.61,1.86,1.64,1.32,0.81,4.02,2.66,2.21,2.86,2.72,1.81,1.86,1.17,0.93,0.85,1.43,0.89,2.4,2.31
May,,1.84,3.18,1.73,4.28,1.13,3.2,1.42,1.44,1.44,1.15,1.8,2.08,4.31,2.39,1.12,2.1,2.73,1.28,1.8
June,,1.09,3.22,2.58,3.51,2.79,2.65,4.82,1.38,2.79,2.13,2.31,1.31,2.25,1.31,2.92,2.13,2.52,3.02,1.42
July,,2.47,2.67,2.48,3.12,3.31,2.07,2.18,1.31,4.19,2.83,2.93,5.12,3.06,1.54,4.61,3.68,7.01,3.42,2.91
August,,3.11,3.84,3.82,1.54,3.05,0.03,5.53,3.23,4.67,4.8,4.28,2.82,4.61,1.73,5.8,4.65,3.94,0.92,2.74
September,,3.53,2.05,3.95,5.61,5.29,3.66,4.61,1.26,8.4,2.52,2.12,2.7,4.02,2.44,4.77,2.44,3.49,0.71,2.04
October,2.46,3.36,4.78,3.74,3.65,0.57,1.66,2.88,3.99,2.57,1.13,2.64,2.39,8.09,2.43,2.69,3.24,2.52,3.53,2.62
November,2.07,0.55,1.94,6.7,0.26,4.2,5.29,2.52,3.13,3.1,4.27,2.51,5.15,4.84,1.19,1.04,1.38,1.47,4.43,3.22
December,1.58,3.36,1.73,3.75,2.81,2.32,1.87,4.12,5.76,1.56,4.47,2.61,3.79,4.05,4.41,3.74,2.91,4.14,3.61,3.06
Total,,28.66,32.92,35.22,35.63,30.32,30.04,41.86,30.63,39.15,33.56,28.8,30.45,43.48,23.09,31.97,33.48,34.81,26.91,29.34
,,,,,,,,,,,,,,,,,,,,
Station no,5168/5,,,,,,,,,,,,,,,,,,,
Midas,13574,,,,,,,,,,,,,,,,,,,
Hyd stn,654609,,,,,,,,,,,,,,,,,,,
