"NORBURY JUNCTION",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2324,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.51,2.40,4.03,2.13,2.46,1.87,2.89,2.22,4.63,1.35,4.46,
February,2.16,0.34,2.14,4.93,0.78,3.59,2.38,1.60,2.51,0.85,0.49,
March,2.42,1.48,2.12,1.62,1.00,1.30,0.68,2.45,1.82,0.56,3.47,
April,4.78,2.04,2.01,1.88,2.58,1.46,2.15,1.95,1.37,0.79,3.40,
May,3.77,1.70,1.26,3.38,4.10,2.79,3.61,1.57,0.88,2.30,2.30,
June,5.20,0.49,1.15,0.57,2.56,0.07,1.40,5.03,3.83,1.96,1.26,
July,3.36,0.67,4.92,4.37,4.14,3.81,2.07,3.50,1.88,1.76,6.16,
August,1.69,3.88,3.11,2.80,3.77,2.11,2.16,3.58,3.14,2.64,2.48,
September,2.98,0.89,2.61,1.85,3.53,4.11,1.31,3.01,1.11,0.90,3.07,
October,2.99,2.70,0.60,3.89,3.96,3.56,2.33,2.14,4.27,3.90,3.26,
November,0.84,2.23,1.24,2.11,1.51,1.75,4.57,3.50,3.99,5.65,3.12,
December,2.72,2.23,3.91,3.89,2.31,2.01,0.77,1.92,2.25,4.56,3.03,
Total,36.42,21.05,29.10,33.42,32.70,28.43,26.32,32.47,31.68,27.22,36.50,
Calc annual,36.42,21.05,29.10,33.42,32.70,28.43,26.32,32.47,31.68,27.22,36.50,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
