"NORBURY JUNCTION",,,,,,,,,,,,
Grid ref,SJ793228,Long,-2.308479,Lat,52.802354,,,,,,,
Station no,2324,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.95,2.69,0.72,1.18,2.06,3.23,1.71,1.58,1.93,5.51,,
February,2.37,0.69,1.86,2.20,1.86,0.38,1.63,3.33,0.35,1.74,,
March,4.82,1.91,1.15,1.97,3.08,0.94,1.87,1.32,1.39,1.40,,
April,2.27,2.64,2.93,0.53,1.12,1.30,0.35,0.59,3.04,1.25,,
May,3.12,2.58,2.56,2.44,3.73,0.73,1.46,2.27,1.73,1.91,,
June,1.51,2.71,1.73,3.34,2.41,2.48,2.05,3.34,1.76,2.29,,
July,1.83,0.96,3.15,3.23,1.40,2.70,2.85,5.30,1.47,3.55,,
August,4.71,2.46,3.06,4.66,1.45,3.44,2.93,3.94,1.02,3.44,,
September,2.97,1.69,3.28,1.75,2.53,2.23,4.91,3.29,0.24,5.65,,
October,1.28,3.99,1.65,4.84,1.23,2.21,2.07,2.65,2.49,4.90,,
November,5.73,2.44,1.39,4.70,1.82,1.09,2.10,1.84,3.38,4.73,,
December,3.12,3.51,1.22,2.60,2.53,2.41,1.51,2.46,3.97,3.32,,
Total,35.68,28.27,24.70,33.44,25.22,23.14,25.44,31.91,22.77,39.69,,
Calc annual,35.68,28.27,24.70,33.44,25.22,23.14,25.44,31.91,22.77,39.69,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
