BIDEFORD-BEECHCROFT-(2-INCH-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SS446265,Long,-4.2159,Lat,51.01726,Elevation,125,ft,,,,,,,,,,,,
Station no,RR8498,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,5.61,1.69,6.08,1.74,1.77,2.4,4.96,1.43,3.5,6.27,,,,,,
February,,,,,5.95,1.55,4.32,1.89,2.52,0.54,5.37,2.19,2.3,1.86,,,,,,
March,,,,,1.45,4.44,1.85,1.14,3.7,4.64,0.67,1.97,6.18,5.93,,,,,,
April,,,,,1.67,2.25,1.32,4.29,2.23,2.84,2.14,2.22,0.14,5.11,,,,,,
May,,,,3.2,3.12,0.17,2.89,2.49,2.03,1.26,2.17,1.13,1.45,3.03,,,,,,
June,,,,1.4,1.34,3.27,1.27,2.92,1.1,1.43,2.81,3.05,7.4,,,,,,,
July,,,,3.07,4.4,1.26,1.34,1.42,1.99,1.89,2.9,0.45,3.03,,,,,,,
August,,,,4.34,2.81,5.17,2.39,2.44,3.42,1.52,4.29,3,8.38,,,,,,,
September,,,,4.71,2.97,1.66,0.89,0.73,1.93,2.66,0.08,3.04,0.75,,,,,,,
October,,,,12.05,2.52,3.2,5.56,5.91,1.34,7.07,5.74,3.91,5.37,,,,,,,
November,,,,3.71,4.21,4.44,3.79,2.88,2.1,1.68,5.99,6,3.06,,,,,,,
December,,,,5.14,3.46,1.47,3.3,5.83,4.62,6.21,5.49,7.77,7.32,,,,,,,
Total,,,,,39.51,30.57,35,33.68,28.75,34.14,42.61,36.16,48.88,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2in gauge,,,,,,,,,,,,,,,,,,,,
House not found but census points to junction of Abbotsham Road and Belvoir Road ,,,,,,,,,,,,,,,,,,,,
