TEMPLECRONE DONEGAL,,,,,,,,,,,,,,,,,,,,
Grid ref,IB7173810129,Long,-8.4417593,Lat,54.938136,Elevation,10,ft,,,,,,,,,,,,
Station no,RR2882,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,4.65,5.63,4.03,2.73,4.37,8.26,6,4.05,4.2,,,,
February,,,,,,,,3.16,3.7,4.32,3.3,2.7,3.77,0.83,2,1.27,,,,
March,,,,,,,,1.43,5.15,2.47,1.68,4.37,3.4,2.71,3.89,1.75,,,,
April,,,,,,,,3.78,1.44,2,2.35,3.22,1.41,1.3,1.61,1.4,,,,
May,,,,,,,,2.52,2.05,2.51,2.1,1.23,2.79,3.32,2.2,2.97,,,,
June,,,,,,,,1.57,3.2,2.4,2.02,2.84,5.6,2.18,1.64,3.7,,,,
July,,,,,,,,6.37,1.35,2.75,2.14,5.77,1.11,5.04,3.21,3.47,,,,
August,,,,,,,,2.55,4.82,1.97,2.78,2.29,4.63,7.02,6,5.55,,,,
September,,,,,,,,3.75,2.75,5.45,4.7,3.63,7.65,4.15,5.19,2.68,,,,
October,,,,,,,3.56,7.32,3.94,3.25,8.5,4.12,5.05,7.48,7.05,4.47,,,,
November,,,,,,,7.17,1.05,4.1,7.63,4.02,3.58,5.02,3.85,4.25,3.61,,,,
December,,,,,,,5.23,2.84,4.7,7.08,2.86,5.53,4.08,3.33,4.62,3.89,,,,
Total,,,,,,,,40.99,42.83,45.86,39.18,43.65,52.77,47.21,45.71,38.96,,,,
,,,,,,,,,,,,,,,,,,,,
Rev A Delap - observer.,,,,,,,,,,,,,,,,,,,,
"Templecrone a parish in Donegal, church on Innishfree",,,,,,,,,,,,,,,,,,,,
NGR for ruined church,,,,,,,,,,,,,,,,,,,,
