SOUTH-PETHERTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST441160,Long,-2.796982,Lat,50.940718,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,1.6,3.56,4.42,3.73,2.77,4.77,1.39,3.24,4.97,4.37,2.77,4.12,1.12,6.12,1.43,3.21,0.5,3.07,1.42,3.09,3.18,2.69,3.51,2.81,1.07,0.84,3.13,2.7,1.67,2.92,3.31,3.96,0.59,1.73,1.25,,,,0.95,3.47,3.91,0.58,4.95,1.14,0.65,1.14,2.89,1.03,4.3,,0.84,2.68,0.91,,,
February,,,,,1.19,2.21,2.73,1.57,2.35,2.29,2.65,1.62,3.6,1.65,3.44,2.07,3.04,1.36,1.56,3.78,4.46,4.04,1.87,5.09,2.77,3.87,0.66,0.47,0.65,1.3,1.19,0.02,1.45,3.32,2.53,0.13,0.4,3.81,2.15,,,,1.43,1.53,4.36,0.82,2.18,1.15,1.2,0.42,3.51,0.99,2.56,,3.67,5.22,,,,
March,,,,,2.51,1.06,3.08,4.34,1.91,1.7,1.15,1.62,3.22,3.27,0.5,0.99,3.32,1.65,1.39,0.43,0.9,2.02,1.45,1.34,3.31,0.8,2.37,1.55,3.34,2.63,1.19,2.88,0.82,0.59,1.17,2.24,2.78,4.1,0.97,,,,1.56,4,1.29,4.5,1.21,0.58,3.09,3.46,0.57,1.9,4.63,,4.22,0.64,,,,
April,,,,,1.67,1.1,1.9,1.47,1.97,0.62,0.39,4.23,2.62,0.75,1.88,1.33,2.76,3.5,3.15,3.39,1.89,1.56,4.27,1.1,1.91,3.23,2.4,0.99,1.98,2.62,2.85,0.54,0.98,0.14,2.54,2.33,0.64,2.18,1.79,,,,1.93,2.35,0.99,2.13,0.91,3.98,1.48,2.24,2.05,1.74,0.18,2.72,0.92,1.17,,,,
May,,,,,0.96,3.14,1.2,1.63,1.05,5.04,1.23,0.78,2.09,1.07,0.88,2.32,0.38,3.12,5.52,2.8,1.73,0.94,1.72,1.51,1.01,3.2,2.33,1.6,1.68,1.84,1.42,3.11,0.83,1,2.44,0.37,0.09,2.2,4.32,,,,2.36,2.1,2.12,0.42,1.89,2.28,1.81,1.2,1.7,1.18,1.45,2.13,1.69,2.3,,,,
June,,,,,1.27,1.6,1.39,0.98,0.8,0.86,0.81,1.82,3.97,1.13,1.44,2.7,1.15,0.94,1.68,4.82,1,2.52,3.3,2.71,3.35,0.95,0.72,1.12,2.88,1.03,2.8,1.43,1.69,0.58,1.87,1,2.46,2.21,0.97,,,,2.78,2.92,0.82,3.6,1.93,1.91,0.38,2.46,3.48,1.56,4.59,0.62,2.94,1.78,,,,
July,,,,,0.5,1.94,1.18,3.71,0.66,0.5,1.17,3.45,4.1,1.98,1.44,3.6,0.59,2.05,1.3,2.6,3.58,2.07,3.97,3.33,2.69,0.26,2.1,1.09,7.1,2.1,2.88,3.05,1.93,3.22,3.32,2.55,1.6,0.75,0.22,,,,2.27,3.15,3.45,0.25,1,1.65,1.64,1.87,3.28,0.17,3.38,0.6,3.5,4.26,,,,
August,,,,,0.64,4.01,2.03,1.39,3.84,0.29,2.17,2.68,3.07,2.44,2.41,1.87,3,3.33,4.02,3.65,0.63,3.84,2.47,0.95,1.24,1.23,1.3,1.12,1.68,2.8,2.24,4.69,3.21,1.43,4.31,3.21,2.11,3.99,1.32,,,,3.47,3.7,2.85,2.65,0.97,1.25,2.05,1.81,4.67,1.15,5.68,2.1,2.49,1.93,,,,
September,,,,,2.97,0,6.55,1.61,4.21,4.04,0.8,4.96,2.01,1.91,4.53,2.6,5.24,2.34,1.93,2.53,4.8,1.45,2.85,6.37,2.25,3.83,2.38,2.58,0.85,1.36,1.18,1.81,1.72,1.43,2.51,1.13,4.95,3.02,1.51,,,,1.7,4.23,1.65,0.84,0.53,0.4,2.17,2.63,0.37,0.83,0.96,2.38,1.66,1.56,,,,
October,,,,,1.28,6.42,2.09,2.75,2.23,1.74,4.29,2.82,4.91,1.63,3.29,6.44,2.64,1.85,3.89,1.21,5.31,1.54,6.45,2.84,0.61,4.48,5.21,2.44,1.57,3.48,1.38,8.46,4.82,3.59,3.7,3.42,1.83,1.48,4.36,,,,2.12,6.9,1.44,0.86,5.56,6.77,3.74,4.65,5.39,2.86,,4.99,3.07,4.54,,,,
November,,,,,2.48,4.05,1.18,1.32,2.36,1.48,2.8,0.84,4.6,3.7,2.39,4.54,4.6,6.78,2.9,0.44,2.52,4.22,3.64,3.38,1.81,2.97,3.19,3.02,6.64,1.01,2.19,3.4,2.77,2.1,6.16,6.62,1.1,0.96,3.78,,,,3.81,1.43,0.96,5.04,3.28,2.6,1.22,0.58,3.72,3.14,,2.71,4.13,2.14,,,,
December,,,,,3.84,2.84,2.19,1.32,5.71,3.88,2.15,2.69,5.67,0.53,3.56,0.76,8.97,1.67,2.01,0.9,3.56,2.84,3.39,0.89,2.17,1.36,5.4,2.08,2.85,1.81,1.91,3.66,1.01,3.82,2.32,2.83,5.03,4.74,2.86,,,,2.09,3.48,3.43,0.77,1.46,3.99,2.77,4.52,5.89,7.86,,2.14,7.35,6.21,,,,
Total,,,,,20.91,31.93,29.94,25.82,29.86,27.21,21,30.75,44.83,24.43,28.53,33.34,36.81,34.71,30.78,29.76,30.88,30.11,36.8,32.6,26.3,28.87,31.57,20.87,32.29,22.82,24.36,35.75,22.9,24.14,36.18,29.79,23.58,31.17,25.5,,,,26.47,39.26,27.27,22.46,25.87,27.7,22.2,26.98,37.52,24.41,,,36.48,34.43,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Oct IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
