BLACKBURN PRESTON NEW ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SD670282,Long,-2.5012082,Lat,53.74971,Elevation,515,ft,,,,,,,,,,,,
Station no,RR6767,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,4.24,1.3,0.45,0.68,3.46,,,,,,,
February,,,,,,,,,1.81,2.88,3.4,5.56,2.86,,,,,,,
March,,,,,,,,,2.38,2.03,2.83,4.45,4.38,,,,,,,
April,,,,,,,,,1.64,1.76,1.45,1.68,5.81,,,,,,,
May,,,,,,,,,5.51,2.45,2.98,4.57,2.24,,,,,,,
June,,,,,,,,,2.89,4.97,4.56,3.08,5.76,,,,,,,
July,,,,,,,,,1.3,5.95,5.93,5.04,6.19,,,,,,,
August,,,,,,,,,7.55,7.15,2.15,5.35,,,,,,,,
September,,,,,,,,,6.51,3.18,4.25,1.96,,,,,,,,
October,,,,,,,,,5.16,3.88,3.57,2.98,,,,,,,,
November,,,,,,,,,4.17,1.25,5.86,4.97,,,,,,,,
December,,,,,,,,,2.72,3,7.91,4.04,,,,,,,,
Total,,,,,,,,,45.88,39.8,45.34,44.36,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Preston New Road very steep so NGR bench 515ft locates quite reasonably given lack of other information,,,,,,,,,,,,,,,,,,,,
