WEST WRATTING HALL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7301,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,2.81,1.09,2.16,2.03,3.01,,,
February,,,,,1.14,2.63,2.41,2.94,1.11,,,
March,,,,,0.64,1.28,0.21,1.62,2.03,,,
April,,,,,2.29,2.28,2.99,1.84,1.06,,,
May,,,,,3.99,1.84,1.99,0.67,2.13,,,
June,,,,,2.47,1.01,2.27,2.45,2.06,,,
July,,,,,3.12,2.89,3.29,2.11,2.44,,,
August,,,,,2.60,2.17,1.54,2.95,2.01,,,
September,,,,,2.31,3.19,2.87,4.27,0.74,,,
October,,,,,3.71,2.72,2.50,1.72,2.62,,,
November,,,,,2.64,2.04,3.22,2.47,1.71,,,
December,,,,,2.08,1.83,0.55,2.16,2.74,,,
Total,,,,,29.80,24.97,26.00,27.23,23.66,,,
Calc annual,0.00,0.00,0.00,0.00,29.80,24.97,26.00,27.23,23.66,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,NaN,NaN,
