"BATHGATE, BOGHEAD HOUSE",,,,,,,,,,,,,,,,,,,,
Grid ref,NS957680,Long,-3.669378,Lat,55.893793,Elevation,500,ft,,,,,,,,,,,,
Station no,RR4618,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.78,2.43,1.91,5.92,3.77,2.11,5.07,3.25,4.94,4.84,5.04,3.1,2.26,2.63,3.11,2.43,5.18,2.05,,
February,3.66,0.71,1.8,6.82,3.25,2.71,2.87,3,2.49,2.63,4.37,5.79,2.61,2.43,3.06,3,5.52,1.03,,
March,1.01,2.9,1.54,7.92,2.01,3.88,4.02,4.16,4.39,5.23,1.82,2.07,4.33,5.25,4.02,1.7,3.24,2.44,,
April,3.05,1.9,0.98,1.51,4.97,2.47,1.4,1.59,1.9,3.3,4.24,2.5,1.27,2.81,2.44,2.47,3.39,2.04,,
May,2.21,1.49,1.97,2.2,3.57,1.02,5.47,4.25,3.08,2.3,2.49,1.97,1.63,2.12,3.13,1.67,5.44,1.9,,
June,4.12,3.32,1.86,1.97,1.87,0.79,1.85,4.28,1.83,2.44,0.87,2.69,5.54,2.67,1.19,1.79,2.84,2.42,,
July,2.25,1.23,3.96,4.67,2.75,2.88,2.86,3.45,3.79,3.51,4,1.81,3.16,1.43,4.55,3.83,4.02,1.75,,
August,5.07,4.63,2.15,5.25,4.12,3.38,7.42,5.38,3.21,3.21,6.46,2.06,4.2,0.95,2.45,3.97,3.79,6.17,,
September,2.72,1.28,2.6,2.81,2.22,3.23,1.63,1.21,4.82,2.34,1.11,1.7,3.17,2.21,1.27,1.8,1.52,1.97,,
October,5.08,2.51,2.2,8.54,1.47,2.58,7.6,9.81,1.14,5.62,2.17,3.6,3.63,2.93,1.81,1.87,6.81,4.5,,
November,5.06,4.22,1.39,2.83,2.21,4.5,5.52,1.92,3.08,2.16,3.15,6.89,3.4,4.99,5.02,1.72,3.78,5.71,,
December,6.91,3.96,3.35,2.53,4.33,3.64,2.93,4.86,1.57,4.68,2.62,3.49,6.59,3.49,4.95,5,4.17,2.73,,
Total,44.92,30.58,25.71,52.97,36.54,33.19,48.64,47.16,36.24,42.26,38.34,37.67,41.79,33.91,37,31.25,49.7,34.71,,
