"BATHGATE, BOGHEAD HOUSE",,,,,,,,,,,,
Grid ref,NS957680,Long,-3.669378,Lat,55.893793,,,,,,,
Station no,RR4618,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.78,2.43,1.91,5.92,3.77,2.11,5.07,3.25,4.94,4.84,,
February,3.66,0.71,1.80,6.82,3.25,2.71,2.87,3.00,2.49,2.63,,
March,1.01,2.90,1.54,7.92,2.01,3.88,4.02,4.16,4.39,5.23,,
April,3.05,1.90,0.98,1.51,4.97,2.47,1.40,1.59,1.90,3.30,,
May,2.21,1.49,1.97,2.20,3.57,1.02,5.47,4.25,3.08,2.30,,
June,4.12,3.32,1.86,1.97,1.87,0.79,1.85,4.28,1.83,2.44,,
July,2.25,1.23,3.96,4.67,2.75,2.88,2.86,3.45,3.79,3.51,,
August,5.07,4.63,2.15,5.25,4.12,3.38,7.42,5.38,3.21,3.21,,
September,2.72,1.28,2.60,2.81,2.22,3.23,1.63,1.21,4.82,2.34,,
October,5.08,2.51,2.20,8.54,1.47,2.58,7.60,9.81,1.14,5.62,,
November,5.06,4.22,1.39,2.83,2.21,4.50,5.52,1.92,3.08,2.16,,
December,6.91,3.96,3.35,2.53,4.33,3.64,2.93,4.86,1.57,4.68,,
Total,44.92,30.58,25.71,52.97,36.54,33.19,48.64,47.16,36.24,42.26,,
Calc annual,44.92,30.58,25.71,52.97,36.54,33.19,48.64,47.16,36.24,42.26,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
