"GRANTHAM SALTERSFORD",,,,,,,,,,,,
Grid ref,SK926334,Long,-0.625126,Lat,52.890089,,,,,,,
Station no,2534,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.22,1.11,1.03,1.71,2.02,0.69,2.78,0.88,0.79,0.74,,
February,4.27,1.48,1.42,0.67,3.12,0.70,1.95,1.04,1.28,0.51,,
March,0.72,2.10,1.16,3.24,1.82,1.61,1.81,1.05,2.44,3.34,,
April,1.07,1.64,2.01,1.87,1.12,2.02,0.90,2.36,2.36,1.12,,
May,1.70,1.28,2.77,2.83,1.84,0.68,1.65,3.07,1.46,1.26,,
June,1.92,1.36,2.23,1.78,0.41,3.11,2.34,2.33,1.07,3.07,,
July,1.08,3.18,1.26,1.58,3.28,1.78,1.28,2.21,2.12,3.25,,
August,3.90,1.45,3.94,4.58,2.42,2.97,0.89,2.28,2.51,2.36,,
September,0.40,0.85,1.02,3.03,1.50,3.10,1.36,0.63,1.31,4.12,,
October,2.12,1.22,1.96,5.78,0.47,1.33,4.16,4.90,1.13,2.96,,
November,1.80,1.53,1.84,1.87,0.91,2.59,3.74,1.90,0.90,0.39,,
December,4.12,4.86,1.78,0.97,1.64,0.47,2.10,2.45,1.17,4.25,,
Total,26.32,22.06,22.42,29.91,20.55,21.05,24.96,25.10,18.54,27.37,,
Calc annual,26.32,22.06,22.42,29.91,20.55,21.05,24.96,25.10,18.54,27.37,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
