GRANTHAM - SALTERSFORD PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK926334,Long,-0.625,Lat,52.890,Elevation,188,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.83,2.16,2.01,1.67,3.04,1.92,0.69,1.53,2.34,1.49,0.96,1.21,1.33,2.78,0.83,1.88,0.70,2.39,3.22,1.11,1.03,1.71,2.02,0.69,2.78,0.88,0.79,0.74,1.59,1.19,3.19,2.92,1.62,2.55,0.97,2.27,1.52,3.47,1.98,1.81,2.13,1.25,2.00,1.70,2.87,1.82,3.33,1.23,2.74,2.01,0.98,1.45,1.56,2.09,3.89,3.21,2.92,4.73,1.39,2.90,1.97,3.63,2.46,1.98,2.28,1.72,4.36,1.15,0.77,2.74,1.72,1.04,1.38,2.97,3.80,1.15,2.59,3.21,4.91
February,1.61,3.20,0.80,2.33,0.21,0.71,1.36,2.26,0.99,0.08,2.03,2.43,1.76,0.28,0.81,2.85,0.48,1.47,4.27,1.48,1.42,0.67,3.12,0.70,1.95,1.04,1.28,0.51,2.44,1.55,1.55,0.69,1.07,2.89,5.17,0.72,1.58,2.81,1.22,0.33,2.63,3.65,1.11,2.27,1.17,1.96,1.30,0.51,0.66,2.88,0.57,1.87,0.69,2.09,2.51,2.95,1.20,0.80,2.57,2.50,0.66,0.52,2.07,1.88,3.55,2.14,1.16,0.78,3.04,3.97,0.44,1.70,2.87,2.84,0.83,2.39,3.05,0.21,2.03
March,1.50,0.90,1.14,0.89,2.52,1.06,2.76,2.60,1.87,1.00,1.16,0.16,0.44,1.97,1.77,2.20,1.67,0.48,0.72,2.10,1.16,3.24,1.82,1.61,1.81,1.05,2.44,3.34,0.70,1.59,2.87,3.68,2.51,0.84,4.58,1.18,0.77,3.92,2.32,0.76,1.82,1.73,0.47,1.16,0.49,2.00,1.42,0.13,1.73,0.44,1.77,2.68,2.18,0.54,1.20,2.78,0.25,2.07,1.89,3.54,1.48,0.53,0.28,0.66,1.01,3.76,0.65,0.96,0.68,3.13,2.76,1.03,1.64,2.32,0.63,1.57,1.52,2.63,1.92
April,3.23,2.63,1.10,1.81,1.76,0.84,1.65,3.04,0.53,1.99,1.38,0.31,1.70,1.40,0.85,1.61,1.93,1.94,1.07,1.64,2.01,1.87,1.12,2.02,0.90,2.36,2.36,1.12,1.68,0.54,0.16,2.22,1.24,0.85,1.21,1.37,2.05,1.87,4.68,1.03,2.94,1.87,2.19,1.56,2.00,1.82,0.84,1.05,2.85,3.02,2.10,0.85,2.06,2.77,1.87,2.46,0.08,2.21,1.33,1.73,0.89,0.60,2.14,1.15,1.63,2.21,1.54,2.04,2.54,2.19,1.14,2.38,0.53,1.30,1.97,0.32,0.53,2.44,0.42
May,1.71,1.76,1.00,2.05,5.01,2.07,0.89,4.20,2.49,3.11,2.02,1.20,2.07,0.63,0.54,1.39,2.43,3.05,1.70,1.28,2.77,2.83,1.84,0.68,1.65,3.07,1.46,1.26,2.29,1.87,2.71,2.14,2.08,1.87,2.33,1.49,1.42,1.99,1.32,1.61,1.27,1.61,2.98,3.07,2.84,0.89,1.64,1.04,2.25,2.82,4.42,1.29,0.53,0.51,0.61,3.64,3.03,1.08,1.08,2.73,3.28,2.41,0.77,1.67,1.62,1.08,2.52,2.05,2.41,2.97,1.62,2.08,3.28,4.07,1.07,1.34,2.17,0.69,0.87
June,3.22,3.82,0.84,1.76,1.37,0.50,1.45,0.43,1.41,1.54,2.25,0.76,1.84,0.93,2.04,1.71,1.08,1.17,1.92,1.36,2.23,1.78,0.41,3.11,2.34,2.33,1.07,3.07,1.75,2.18,4.12,0.72,2.48,0.85,1.47,1.24,0.16,0.85,1.91,0.89,1.04,0.76,2.29,0.19,2.45,3.01,2.27,1.26,0.80,1.93,0.33,1.37,1.09,2.27,3.39,0.47,1.07,1.81,0.81,0.48,1.54,1.58,1.44,2.22,,2.28,3.35,0.70,1.70,1.23,1.83,3.01,3.03,3.06,3.62,2.37,4.36,0.69,2.39
July,2.87,3.67,4.58,0.14,2.64,1.24,4.34,1.61,2.00,2.70,2.02,3.37,2.36,2.32,1.26,1.72,1.04,1.50,1.08,3.18,1.26,1.58,3.28,1.78,1.28,2.21,2.12,3.25,2.73,0.13,5.11,0.48,2.33,5.66,1.60,1.48,2.62,4.29,2.72,0.29,4.96,3.19,2.88,1.29,2.20,2.08,1.32,0.98,3.23,4.10,8.86,1.58,2.74,0.33,4.30,3.85,2.70,4.60,3.67,3.90,2.07,1.40,1.48,1.90,1.58,1.41,1.18,3.96,2.97,0.86,0.32,1.49,1.96,0.54,2.93,3.48,3.68,1.76,3.46
August,2.79,1.60,1.27,3.34,2.14,0.71,2.27,3.47,1.59,3.46,1.37,1.92,2.63,1.15,1.01,4.41,2.87,0.75,3.90,1.45,3.94,4.58,2.42,2.97,0.89,2.28,2.51,2.36,2.58,1.32,5.43,0.77,1.33,2.30,3.32,6.55,1.55,2.72,0.96,3.41,6.12,2.18,2.32,1.06,2.63,3.41,2.19,1.69,2.28,3.36,2.15,0.65,1.74,1.10,0.88,1.19,2.45,4.51,0.36,4.32,2.45,1.71,3.65,2.05,4.13,0.12,2.72,2.11,1.48,4.41,2.09,2.05,3.95,0.77,5.00,2.16,3.29,1.33,3.53
September,3.50,5.68,0.88,2.95,1.64,2.60,1.20,2.32,0.69,1.14,1.90,0.97,0.72,0.33,3.28,2.38,0.47,2.96,0.40,0.85,1.02,3.03,1.50,3.10,1.36,0.63,1.31,4.12,1.05,1.44,1.13,2.28,1.02,0.95,1.35,1.27,3.72,1.78,1.38,0.56,1.43,2.31,3.15,3.34,1.07,4.17,0.51,0.67,4.11,3.18,1.99,2.04,1.05,3.27,2.80,1.02,1.86,0.95,0.62,0.56,1.27,1.87,4.62,1.02,3.40,0.89,2.60,1.12,2.84,1.07,1.89,0.94,2.48,1.67,2.16,4.85,2.20,0.14,3.10
October,5.17,2.17,1.04,6.17,4.41,1.83,0.60,3.54,0.87,3.97,4.45,1.43,2.76,2.85,3.37,0.76,2.53,2.40,2.12,1.22,1.96,5.78,0.47,1.33,4.16,4.90,1.13,2.96,1.85,2.14,1.98,3.44,2.27,1.04,1.76,2.96,1.47,1.91,1.29,1.43,1.58,2.54,4.45,2.74,2.57,2.26,3.71,2.42,1.25,0.54,2.63,2.55,0.84,2.63,1.60,2.78,2.14,3.25,3.29,2.99,2.45,1.68,2.32,2.80,1.89,0.24,1.83,3.66,0.64,1.53,3.20,2.16,2.71,1.75,1.20,0.95,1.45,1.80,5.19
