SANQUHAR (CRICHTON SCHOOL),,,,,,,,,,
Grid ref,NS782099,Long,-3.9233065,Lat,55.367938,Elevation,499,ft,,
Station no,RR7331,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,0.8,3,3.2,4.3,8.4
February,,,,,,0.6,4.3,2.1,1.2,6.5
March,,,,,,3.2,0.3,5.1,1.7,6.9
April,,,,,,2.2,2.8,3,1.5,1.4
May,,,,,,2.2,3.3,1.7,4,0.2
June,,,,,,2.1,4.2,2.9,4.3,1.8
July,,,,,,3.6,2.5,2.4,4.5,2.9
August,,,,,,4,4.7,2.5,3.2,3.3
September,,,,,,0.8,3.6,3.6,,4.6
October,,,,,,6.8,2.2,3.2,6.3,3.2
November,,,,,,2.1,2.5,3.5,2.8,4.5
December,,,,,,4.1,6.4,6.3,5.7,3.6
Total,,,,,,32.5,39.8,39.5,,47.3
,,,,,,,,,,
1857Dec,,,,,,,,,,
