ST-BREWARD-DE-LANK-FILTER-WORKS,,,,,,,,,,
Grid ref,SX132765,Long,-4.63779,Lat,50.55889,Elevation,725,ft,,
Station no,1892/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,6.57,8.61,5.72
February,,,,,,,,7.5,0.87,5.57
March,,,,,,,,2.74,6.14,3.43
April,,,,,,,,2.02,5.36,6.01
May,,,,,,,,5.02,1.82,3.18
June,,,,,,,3.62,7.14,1.43,2.23
July,,,,,,,4.81,3.66,3.01,7.01
August,,,,,,,5.15,9.76,3.59,4.44
September,,,,,,,6.18,7.55,0.78,7.49
October,,,,,,,5.72,4.75,10.7,10.77
November,,,,,,,3.61,7.08,11.63,8.62
December,,,,,,,5.16,6.41,12.3,7.29
Total,,,,,,,,70.2,66.24,71.76
,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as De Lank Filters SRC_ID 8782,,,,,,,,,,
Station still in use,,,,,,,,,,
,,,,,,,,,,
Gauge location taken from post 1960 location as NGR on 1950 sheet is long way from the Filter Works,,,,,,,,,,
