WEST-TOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST481680,Long,-2.747582,Lat,51.408636,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,4.82,3.97,3.26,2.59,4.68,3.72,5.6,,5.68,1.09,4.98,1.86,4.64,3.33,2.24,0.87,3.58,3.91,4.7,5.15,2.4,3.39,3.31,5.75,1.82,2.37,3.2,2.21,5.99,0.84,0.96,4.01,2.7,0.79,2.51,3.63,3.95,3.1,2.73,3.76,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,2.03,0.51,4.68,7.39,0.63,4.62,2.12,,3.07,1.26,0.69,1.95,0.09,3.94,0.34,2.54,2.18,4.88,1.16,1.99,1.94,3.17,0.18,1.72,0.62,3.7,2.71,1.79,1.72,1.16,5.94,3.95,0.74,1.46,3.18,1.77,0.2,4.24,4.18,0.33,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,2.49,2.48,3.38,1.54,2.01,0.43,0.81,,2.46,0.49,1.97,1.11,2.38,3.19,1.88,0.68,2.71,3.69,0.41,1.33,2.47,3.19,1.99,1.08,0.28,1.1,1.11,6.41,1.61,1.44,1.65,4.78,3.01,0.81,3.31,1.15,0.76,2.75,0.98,2.99,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,4.8,1.05,4.1,2.91,3.44,2.27,3.35,,1.52,0.93,2.71,2.54,2.98,1.3,2.61,4.53,3.11,2.85,0.17,2.79,2.22,1.18,0.88,1.14,2.62,0.95,2.62,2.69,1.88,1.97,2.22,3.56,1.71,4.19,0.76,1.4,2.35,0.11,1.2,2.95,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,2.28,2.86,1.08,2.28,4.78,5.37,2.77,,1.03,2.4,1.12,3.4,5.54,2.33,1.39,1.16,1.7,2.58,2.33,0.97,3.06,1.66,3.99,2.54,0.88,3.94,4.27,2.49,3.92,4.18,2.11,2.93,4.22,1.87,1.71,4.04,0.76,1.71,3.28,1.52,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,3.31,0.29,2.2,0.72,3.32,0.06,2.16,,2.58,2.1,1.76,3.81,1.13,1.02,1.47,3.89,3.17,1.14,1,2.1,0.87,2.61,0.3,1.69,3.3,3.65,3.53,1.5,2.88,0.54,2.5,0.91,2.91,2.44,3.73,2.55,2.63,1.52,2.94,1.33,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,5.81,1,4.65,2.43,5.15,3.96,2.24,,2.74,1.44,2.28,3.96,2.79,1.95,0.98,1.37,5.32,4.17,3.23,4.41,6.42,2.24,2.94,2.04,1.91,2.01,1.48,2.9,1.48,0.72,4,1.36,0.79,4.67,3.94,0.1,3.23,4.67,1.85,3.29,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,2.47,4.08,4.77,4.15,6.83,3.6,3.57,,2.95,4.35,4.84,4.32,1.35,2.51,3.03,2.22,0.63,0.85,3.38,2.63,0.19,4.5,3.87,4.2,2.84,2.76,7.34,0.88,5.17,2.75,6.48,4.69,6.08,5.48,3.2,0.67,7.76,2.8,3.55,1.64,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,1.99,4.9,2.81,3.76,4.37,3.97,1.96,,1.14,0.52,3.82,2.85,5.28,2.25,2.8,6.92,2.97,1.6,2.28,0.68,2.01,0.59,1.95,3.58,3.87,2.28,4.57,1.43,2.87,3.36,5.64,2.59,3.19,3.53,5.9,1.71,3.86,4.01,5.62,0.17,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,2.75,1.96,1.68,4.96,6.76,4.02,5.14,,5.98,6.28,3.58,1.04,7.06,2.93,1.98,6.34,1.86,3.16,5.67,2.85,3.62,1.66,3.6,3.04,4.18,3.81,0.96,0.5,4.53,7.79,1.75,0.7,4.11,2.74,4.17,1.55,1.67,4.05,3.17,4.2,7.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,2.12,2.03,1.78,3.58,3.52,2.13,8.2,,3.57,9.43,4.4,4.19,1.92,0.62,1.42,6.65,3.98,1.88,4.47,6.47,7.65,1.65,1.36,2.24,6.17,0.6,4.56,2.66,2.11,3.84,6.69,6.85,4.81,2.08,6.55,3.52,1.05,2.67,2.57,4.67,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,3.55,3.23,5.39,3.24,5.36,4.99,0.62,,3.86,6.98,3.49,2.04,1.56,1.61,7.16,3.97,2.81,1.84,3.43,2.06,1.68,2.61,3.47,2.09,2.71,5.21,2.87,2.85,4.07,2.5,2.43,2.2,2.31,1.12,2.59,4.28,4.11,3.04,3.61,7.02,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,38.65,26.23,28.31,45.11,32.11,26.76,33.96,36.26,27.67,38.01,44.67,31.67,46.62,33.37,39.29,36.9,45.97,36.62,42.32,38.2,38.42,28.36,39.78,39.55,50.85,39.14,38.54,,36.58,37.27,35.64,33.07,36.72,26.98,27.3,41.14,34.02,32.55,32.23,33.43,34.53,28.45,27.84,31.11,31.2,32.38,39.22,28.31,38.23,31.09,42.37,38.53,36.58,31.18,41.55,26.37,32.33,34.67,35.68,33.87,48.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916-1918 Totals entered at concat stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 May IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
