"HATFIELD PEVEREL (LOWER FARM)",,,,,,,,,,,,
Grid ref,TL808109,Long,0.618815,Lat,51.767580,,,,,,,
Station no,1293/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.84,1.66,0.95,1.31,2.48,2.81,0.87,2.22,1.92,1.69,,
February,4.45,0.70,0.78,2.01,1.80,0.27,2.08,2.92,0.07,1.74,,
March,2.36,3.40,0.42,1.73,1.33,0.78,1.49,0.59,1.33,1.25,,
April,2.31,0.84,1.81,0.28,0.16,1.06,0.17,1.02,1.98,0.56,,
May,2.31,1.07,1.55,2.21,3.82,0.47,1.03,2.33,0.67,2.13,,
June,0.84,1.36,1.70,2.06,2.50,1.58,1.17,4.92,0.44,1.44,,
July,1.83,0.62,3.00,2.91,0.09,3.11,2.62,2.57,2.11,2.72,,
August,2.62,1.54,1.19,2.07,0.54,4.03,1.56,3.71,0.47,3.30,,
September,2.01,2.98,2.00,1.36,1.84,1.94,2.15,4.58,0.02,4.67,,
October,0.62,1.89,2.18,1.30,3.81,1.32,1.30,1.65,2.22,6.24,,
November,3.70,3.89,0.89,2.94,0.76,0.46,3.01,1.30,2.59,3.82,,
December,1.72,2.17,0.67,0.89,1.39,1.86,1.93,2.95,3.76,2.60,,
Total,26.61,22.12,17.14,21.07,20.52,19.69,19.38,30.76,17.58,32.16,,
Calc annual,26.61,22.12,17.14,21.07,20.52,19.69,19.38,30.76,17.58,32.16,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
