OSWESTRY-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ290297,Long,-3.0559812,Lat,52.860085,Elevation,450,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,2.15,1.72,3.17,3.22,3.67,4.01,4.33,2.06,3.36,3.27,4.56,3.65,6.89,1.76,5.54,3.24,3.76,1.61,2.75,1.44,4.23,,,,
February,,,,,,,3.32,1.69,3.16,2.99,2.66,0.34,3.52,5.4,0.83,4.78,1.6,2.25,3.83,0.84,1.02,3.38,0.03,2.9,0.27,3.41,2.29,,,,
March,,,,,,,4,2.65,1.18,5.3,4.83,1.78,2.38,1.92,1.56,1.3,0.5,3.03,2.78,0.32,2.17,0.64,2.41,1.9,2.27,0.95,2.03,,,,
April,,,,,,,1.65,1.8,1.67,2.26,5.47,1.18,2.42,2.94,2.99,1.94,0.79,2.72,1.48,0.81,3.35,3.48,5.1,0.91,2.92,2.31,2.19,,,,
May,,,,,,,3.05,3.86,2.32,1.44,4.65,1.49,0.65,3.73,5.13,2.65,3.29,1.91,1.5,2.14,1.67,4.27,3.71,1.52,1.59,1.34,1.38,,,,
June,,,,,,0.94,1.75,3.97,0.73,0.68,3.84,0.16,1.33,0.57,1.47,0.08,1.5,4.79,4.47,2.51,0.94,,0.57,1.65,1.26,3.48,4.57,,,,
July,,,,,,,1.82,1.75,4.54,0.85,5.01,1.22,3.69,2.28,5.32,2.32,2.65,2.7,1.73,2.4,2.83,1.92,5.43,1.32,0.41,0.63,4.21,,,,
August,,,,,,,1.43,5.66,1.72,2.88,1.51,3.48,2.67,3.24,2.98,3.52,3.23,6.05,4.42,2.24,3.27,6.46,1.28,0.52,2.54,1.01,,,,,
September,,,,,,,2.4,0.83,7.81,1.61,2.13,0.68,2.02,2.32,3.67,2.66,1.63,3.59,2.06,1.95,4.55,4.04,2.45,0.81,1.91,4.85,,,,,
October,,,,,,3.03,6.92,4.91,1.97,3.04,3.48,3.48,0.72,5.22,5.19,3.62,2.57,3.83,5.14,4.63,4.38,0.88,5.97,4.2,3.95,5.41,,,,,
November,,,,,,3.93,3.48,2.59,1.31,1.81,1.61,2.8,1.46,2.85,2.48,2.09,6.15,5.01,5.94,7.91,4.38,6.49,1.68,0.97,1.71,5.01,,,,,
December,,,,,,,2.34,1.58,5.02,4.77,3.62,2.78,4.48,3.2,4.39,3.49,0.82,2.46,2.18,7.91,4.59,1.73,1.38,0.61,6.67,3.27,,,,,
Total,,,,,,,34.31,33.01,34.6,30.85,42.48,23.4,29.67,35.73,39.37,31.72,29.29,41.99,42.42,35.42,38.69,,33.77,18.92,28.25,33.11,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is a school that fits some of the relationships to church and station although these are different on each sheet. The station is most consistent. Could be +/- 300 yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
