OSWESTRY-CROSS-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ291296,Long,-3.0544744,Lat,52.8592,Elevation,396,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2311/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.91,2.95,4.54,8.4,3.9,5.46,4.45,5.47,3.42,2.64,4.37,2.65,8.15,2.06,1.19,2.98,,,,,,,,,
February,,,,,,2.38,5.29,0.92,2.65,3.06,3.75,1.31,1.69,2.09,3.21,3.51,3.48,2.5,1.84,6.78,3.14,,,,,,,,,
March,,,,,,2.27,2.35,0.48,2.91,3.11,3.33,2.92,1.07,0.75,1.19,1.75,7.91,1.46,1.92,1.71,4.64,,,,,,,,,
April,,,,,,2.34,2.36,0.18,2.53,3.21,1.32,2.52,1.35,1.11,1.58,1.21,3.38,1.48,3.37,3.43,2.09,,,,,,,,,
May,,,,,,1.59,1.86,3.14,1.62,2.44,2.46,4.73,4.03,3.5,3.33,2.35,3.15,1.74,3.06,0.95,3.19,,,,,,,,,
June,,,,,,3.88,1.2,2.82,2.53,1.49,2.59,0.21,2.01,1.61,3.24,3.29,1.83,4.17,0.87,0.97,1.12,,,,,,,,,
July,,,,,,4.07,1.7,3.03,7.38,3.53,1.56,2.44,2.41,1.97,1.99,1.63,4.59,2.07,3.15,2.88,1.51,,,,,,,,,
August,,,,,,1.07,1.2,4.07,1.8,0.34,4.05,4.04,2.64,2.21,3.7,5.11,0.48,3.91,1.49,5.58,5.21,,,,,,,,,
September,,,,,,3.1,1.52,1.08,1.05,2.11,0.63,2.25,3.41,3.44,1.85,4.16,1.64,1.84,1.02,5.61,2.65,,,,,,,,,
October,,,,,,1.58,3.68,5.93,3.49,5.21,2.24,1.32,3.45,5.03,4.82,1.77,0.62,1.66,5.15,2.48,1.29,,,,,,,,,
November,,,,,,2.97,2.21,5.1,5.02,9.1,2.74,0.67,2.64,5.72,0.35,5.94,3.02,2.21,4.2,3.91,4.26,,,,,,,,,
December,,,,,,4.27,3.07,3.31,2.49,2.01,2.33,3.95,1.78,2.18,3.86,3.54,2.25,4.49,3.18,2.9,4.5,,,,,,,,,
Total,,,,,,34.43,29.39,34.6,41.87,39.51,32.46,30.81,31.95,33.03,31.76,38.63,35,35.68,31.31,38.39,36.58,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is mid point od Cross Street. Stated altitude seems 25 ft. low.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauge moved 1000 yards SE in Oct 1951; readings left in place. Stated total does ot match sum of monthly readings, hence amened",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are several duplicated readings in the 1940 and 1950s between Filter Beds, Cross Street and Llwyn Terrace, possibly more than would be expected; one reading April 1945 is the same for all 3 sites.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
