"CAWDOR CASTLE",,,,,,,,,,,,
Grid ref,NH847498,Long,-3.926879,Lat,57.523626,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,4.91,1.39,2.44,2.86,2.26,2.00,2.97,,
February,,,,4.03,1.76,2.40,2.30,2.15,2.05,1.58,,
March,,,,3.12,0.60,3.90,3.26,0.78,4.46,2.99,,
April,,,,1.12,2.60,2.23,1.64,1.36,1.42,2.64,,
May,,,,1.40,2.25,1.70,2.86,3.57,2.01,3.15,,
June,,,,1.81,1.07,0.59,0.50,4.67,0.65,1.58,,
July,,,,4.77,0.59,1.35,1.74,2.71,1.46,4.72,,
August,,,,2.32,4.36,2.23,3.14,3.21,1.28,2.29,,
September,,,,1.88,2.58,1.84,1.12,1.33,4.94,1.88,,
October,,,,3.53,0.96,2.55,4.06,5.14,0.38,4.98,,
November,,,,2.75,1.21,4.38,4.58,2.08,2.44,1.78,,
December,,,,0.77,2.92,1.97,1.86,1.78,1.57,1.89,,
Total,,,,32.41,22.29,27.58,29.92,31.04,24.66,32.45,,
Calc annual,0.00,0.00,0.00,32.41,22.29,27.58,29.92,31.04,24.66,32.45,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
