CAWDOR CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH847498,Long,-3.926879,Lat,57.523626,Elevation,225,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91,1.39,2.44,2.86,2.26,2,2.97,3.73,1.19,1.29,0.88,2.87,1.57,4.4,3.1,2.69,3.39,3.12,4.31,2.38,3.44,1.62,3.81,1.66,2.7,4,0.7,2.75,3.91,4.27,2.2,2.47,2.01,5.73,4.02,3.33,3.58,0.75,1.45,3.31,1.15,3.72,3.01,1.13,1.16,2.51,3.36,2.14,2.33,2.46,1.57,2.14,1.59,1.49,2.86,3.15,2.97,3.01,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,1.76,2.4,2.3,2.15,2.05,1.58,1.31,3.44,1.46,1.88,1.5,1.33,4.68,1.05,2.73,1.02,2.06,0.87,2.79,1.85,1.89,6.77,1.16,1,2.6,0.4,0.88,3.01,0.73,3.05,0.76,3.09,1.82,2.77,1.5,1.75,1.03,2.47,2.08,2.68,2.5,2.09,2.28,0.53,2.25,2.03,2.16,2.16,1.48,1.92,1.24,2.51,1.93,1.9,2.93,0.79,2.02,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,0.6,3.9,3.26,0.78,4.46,2.99,1.5,1.72,1.68,3.23,2.95,2.38,1.86,2.25,0.47,2.28,1.69,2.32,1.77,0.51,1.06,2.9,2.88,1.7,2,0.35,1.49,1.55,4.16,0.83,3.84,1.94,0.83,2.13,1.36,2.16,2.49,1.5,0.48,1.89,1.71,0.99,0.87,1.79,1.35,2.25,1.44,1.61,1.75,1.03,1.76,1.42,0.81,3.52,1.21,1.2,0.4,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,2.6,2.23,1.64,1.36,1.42,2.64,5.84,1.8,1.22,1.31,0.34,3.22,2.35,2.65,2.23,2.76,1.82,0.36,3.65,1.8,0.45,2.33,1.77,2.5,0.95,1.9,1.66,2.53,4.1,2.71,5.67,2.93,1.1,0.55,0.79,1.45,1.62,1.11,1.62,1.81,1.98,1.21,1.42,2.43,2.66,2.35,3.22,4.94,0.73,3.02,1.16,1.13,2.01,0.65,1.71,3.07,1.46,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.25,1.7,2.86,3.57,2.01,3.15,1.64,2.37,2.55,1.2,3.53,1.38,5.54,2.12,4.43,0.31,2.32,3.29,1.89,4.04,3.28,2.52,1.97,3,2.4,2.83,1.73,3.36,3.36,1.29,2,1.76,1.17,1.31,2.34,0.93,1.71,3.62,2.72,4.23,1.98,2.22,1.72,1.56,2.62,2.5,2.06,0.59,1.49,3.43,3.92,2.62,1.28,0.95,2.8,0.54,0.27,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,1.07,0.59,0.5,4.67,0.65,1.58,2.17,3.4,3.91,3.11,1.29,0.67,6.92,3.21,2.35,1.8,0.76,1.01,1.39,1.17,3.17,0.52,3.2,3.8,3.85,2.53,1.05,3.86,0.34,3.06,1.28,2.82,1.37,2.15,4,1.91,0.71,0.36,1.15,1.37,2.76,2.66,2.69,4.44,5.38,1.45,1.58,3.36,2.03,3.23,2.35,0.83,2.43,1.82,2.08,2.24,3.08,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,0.59,1.35,1.74,2.71,1.46,4.72,4.1,2.94,2.48,1.1,3.88,5.5,5.35,1.41,3.85,0.75,2.42,2.37,3.18,3.05,3.31,1.76,3.12,2,2,2.59,3.47,5.41,4.14,2.83,4.19,1.82,6.08,3.22,5.78,5.98,9.57,2.27,3.75,1.45,1.06,2.4,6.68,1.97,2.83,1.9,1.79,3.56,2.07,3.71,3.73,0.57,7.23,5.72,3.63,2.46,2.67,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,4.36,2.23,3.14,3.21,1.28,2.29,3.16,0.75,4.12,0.77,2.48,1.91,2.98,5.85,2.65,1.82,3.03,2.26,2.66,5.56,5.35,0.96,2.66,3.1,3.9,4.43,5.63,2.9,1.57,2.34,2.28,4.18,2.49,3.09,2.27,1.4,1.59,7.29,3.89,4.45,1.8,3.41,5,0.51,7.02,5.43,1.8,5.34,3.97,2.86,2.9,0.55,5.26,5.96,3.48,1.36,9.59,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,2.58,1.84,1.12,1.33,4.94,1.88,1.27,1.2,1.14,3.89,1.37,7.24,0.65,2.35,3.25,1.64,4.92,1.31,1.08,2.36,4.49,4.83,2.89,6,3.95,2.42,3.31,1.41,3.42,0.99,1.29,4.51,3.3,1.41,3.8,2.23,1.91,0.97,3.89,2.59,3.82,2.19,4.54,3.54,2.75,2.76,4.99,0.63,2.34,2.53,2.54,2.02,3.23,1.82,2.49,0.59,2.58,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,0.96,2.55,4.06,5.14,0.38,4.98,1.59,2.98,2.43,1.24,1.47,0.95,5.66,4.43,2.79,2.92,0.97,1.8,2.25,3.64,3.26,2.16,4.71,4.7,2.9,4.04,4.4,2.81,6.42,4.74,3.54,7.34,2.78,2.03,4.57,3.42,3.36,4.27,4.91,2.76,3.18,4.36,0.34,1.11,2.59,1.35,1.46,1.3,2.29,1.03,6.3,4.06,3.27,1.72,2.44,3.06,2.66,,,,,,,,,,,,,,,,,,,,,
