DURDHAM DOWN HAMPTON LODGE,,,,,,,,,,,,
Grid ref,ST569755,Long,-2.621984,Lat,51.476808,,,,,,,
Station no,RR6305,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.16,2.02,4.08,3.71,0.57,4.88,2.24,1.80,1.63,,
February,,1.21,1.01,1.80,4.01,0.65,2.33,1.89,1.88,0.63,,
March,,3.32,1.94,4.78,1.63,4.78,2.69,1.11,2.82,3.55,,
April,,3.82,1.55,3.42,2.35,3.01,1.41,3.69,2.97,2.90,,
May,,1.22,2.00,3.65,3.14,0.12,2.35,2.62,1.96,1.96,,
June,,2.10,3.10,4.07,1.80,4.38,2.66,3.23,0.70,3.83,,
July,,2.76,1.26,1.42,4.30,0.75,1.36,2.42,2.17,3.14,,
August,,,4.35,3.98,2.82,3.88,2.62,2.42,4.64,2.93,,
September,,,2.15,3.36,1.30,1.31,0.79,0.65,2.64,3.49,,
October,,1.24,2.76,7.93,1.28,2.08,6.07,5.45,2.14,6.51,,
November,,,3.10,1.85,2.38,2.81,2.82,3.25,1.19,1.66,,
December,,5.68,3.34,3.09,2.51,1.11,1.55,6.29,2.48,5.24,,
Total,,,28.58,43.43,31.23,25.45,31.53,35.26,27.39,37.47,,
Calc annual,0.00,23.51,28.58,43.43,31.23,25.45,31.53,35.26,27.39,37.47,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
