TRINITY-RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV662540,Long,-2.09059,Lat,49.2352,Elevation,375,ft,,,,,,,,,,,,,
Station no,4432,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.21,2.44,3.16,5.82,4.68,5.12,5.37,2.29,3.62,3.56,1.9,2.71,3.84,0.71,,,,,
February,,,1.88,4.91,0.91,3.64,2.89,1.86,3.74,1.64,1.78,3.05,0.37,3.54,0.24,4.09,,,,,
March,,,3.36,2.23,3.38,0.64,1.17,3.95,2.39,0.03,2.52,2.46,1.89,1.59,4.67,1.04,,,,,
April,,,3.57,3.22,3.62,3.33,3.14,1.5,2.49,1.78,4.42,1.57,2.58,1.97,1.77,3.17,,,,,
May,,,1.31,3.14,2.63,4.27,2.82,0.27,4.03,1.27,1.89,1.94,2.96,2.83,0.53,2.23,,,,,
June,,,1.84,1.17,1.03,0.01,4.14,3.33,2.33,3.55,0.98,1.84,1.6,2.7,1.19,4.18,,,,,
July,,,3.87,1.18,3.12,2.92,1.33,2.81,0.78,1.67,3.04,2.47,2.64,2.49,0.55,0.74,,,,,
August,,,2.66,1.65,3.8,3.43,1.68,4.81,2.32,1.45,3.01,7.3,0.59,2.5,3.99,2.46,,,,,
September,,,2.3,3.1,,2.64,0.36,6.62,2.04,,2.95,2.83,4.46,3.35,2.86,3.26,,,,,
October,,,1.86,5.08,4.08,2.77,3.42,1.81,6.92,6.54,4,0.91,5.28,3.21,4.63,4.37,,,,,
November,,,2.86,5.01,1.32,4.81,7.55,4.24,3.68,7.81,7.48,4.23,3.09,2.02,3.56,6.9,,,,,
December,,,4.69,3.68,3.93,5.69,0.73,2.86,4,5.32,4.54,0.77,1.55,2.2,8.46,,,,,,
Total,,,34.41,36.81,,39.97,33.91,39.18,40.09,,40.23,32.93,28.91,31.11,36.29,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge from Rockmount,,,,,,,,,,,,,,,,,,,,,
1924 Sept Estimated,,,,,,,,,,,,,,,,,,,,,
1929 Sept Estimated,,,,,,,,,,,,,,,,,,,,,
1935 Nov Record terminated,,,,,,,,,,,,,,,,,,,,,
