TRINITY-RECTORY,,,,,,,,,,
Grid ref,WV662540,Long,-2.09059,Lat,49.2352,Elevation,380,ft,,
Station no,4432,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,4.37,1.98,2.08,1.61,
February,,,,,,5.16,6.29,1.82,1.18,
March,,,,,,0.89,2.6,2.75,,
April,,,,,,2.11,0.98,1.07,,
May,,,,,,1.38,1.29,1.95,,
June,,,,,,0.37,0.94,1.12,,
July,,,,,,4.04,0.6,2.07,,
August,,,,,,1.69,2.33,6.39,,
September,,,,,,4.79,3.6,1.15,,
October,,,,,,3.17,4.72,8.08,,
November,,,,,,4.22,6.83,2.01,,
December,,,,,,8.52,4.31,2,,
Total,,,,,,40.71,36.47,32.49,,
,,,,,,,,,,
Given elevation of 410ft is too high for anywhere in this area,,,,,,,,,,
1918 Mar Gauge moved to St Martins,,,,,,,,,,
