STANWICK PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ185113,Long,-1.716,Lat,54.497,Elevation,300,ft,,,,,,,,,,,,
Station no,RR3131,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910
January,1.08,1.58,1.27,2.10,5.37,0.94,1.39,1.23,3.26,3.31,2.37,0.88,3.19,2.63,0.78,3.46,0.77,1.14,1.24,2.80
February,0.03,2.33,3.58,4.37,1.39,0.46,2.05,1.62,1.85,5.86,1.20,1.33,2.40,2.15,0.83,1.51,1.69,3.20,1.41,3.45
March,1.81,1.07,0.35,1.16,2.63,2.58,3.78,1.45,1.04,1.13,2.27,1.17,3.35,2.23,2.09,1.44,1.26,3.86,4.61,0.75
April,4.10,1.24,0.56,1.70,1.96,1.02,1.77,2.41,2.52,1.40,1.60,1.61,1.44,1.66,2.85,0.68,1.94,2.44,1.96,2.39
May,2.35,2.33,2.51,2.60,0.97,0.74,1.29,2.25,4.23,1.87,1.69,2.80,4.12,3.42,1.00,3.33,3.59,2.32,1.45,2.23
June,2.01,3.86,1.15,4.26,1.94,3.95,2.65,1.94,1.73,3.35,1.25,1.45,2.20,1.28,2.49,1.11,2.97,0.84,2.11,1.86
July,4.18,1.08,2.88,2.34,6.89,2.43,1.10,0.84,3.20,1.79,4.02,3.32,3.62,1.77,0.71,1.41,2.09,3.05,2.28,3.43
August,4.21,4.06,2.21,2.50,2.42,1.41,2.01,2.15,1.51,6.88,1.48,2.17,1.69,3.28,4.10,2.05,1.31,1.71,3.16,3.37
September,1.82,2.24,1.22,0.91,0.62,3.99,2.25,0.52,3.14,0.78,1.72,0.78,2.92,0.78,2.25,0.50,0.44,2.65,2.05,0.19
October,3.82,4.91,1.10,5.42,3.73,4.33,2.01,3.71,1.80,4.24,1.84,3.32,8.77,1.10,1.73,4.36,5.56,2.14,2.52,2.17
November,3.17,1.42,2.25,1.38,4.93,1.19,1.57,2.56,2.01,4.06,5.22,2.25,1.46,2.07,5.29,2.68,2.91,1.03,0.53,2.70
December,3.46,0.61,2.84,2.23,2.63,4.30,2.96,2.24,3.16,2.20,3.31,2.66,1.64,2.14,0.46,2.51,3.31,0.98,4.34,3.36
Total,32.04,26.73,21.92,30.97,35.48,27.34,24.83,22.92,29.45,36.87,27.97,23.74,36.80,24.51,24.58,25.04,27.84,25.36,27.66,28.70
,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/212,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/048,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/063,,,,,,,,,,,,,,,,,,,,
