"STANWICK PARK [DARLINGTON]",,,,,,,,,,,,
Grid ref,NZ187114,Long,-1.712784,Lat,54.497586,,,,,,,
Station no,RR3131,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.31,2.37,0.88,3.19,2.63,0.78,3.46,0.77,1.14,1.24,,
February,5.86,1.20,1.33,2.40,2.15,0.83,1.51,1.69,3.20,1.41,,
March,1.13,2.27,1.17,3.35,2.23,2.09,1.44,1.26,3.86,4.61,,
April,1.40,1.60,1.61,1.44,1.66,2.85,0.68,1.94,2.44,1.96,,
May,1.87,1.69,2.80,4.12,3.42,1.00,3.33,3.59,2.32,1.45,,
June,3.35,1.25,1.45,2.20,1.28,2.49,1.11,2.97,0.84,2.11,,
July,1.79,4.02,3.32,3.62,1.77,0.71,1.41,2.09,3.05,2.28,,
August,6.88,1.48,2.17,1.69,3.28,4.10,2.05,1.31,1.71,3.16,,
September,0.78,1.72,0.78,2.92,0.78,2.25,0.50,0.44,2.65,2.05,,
October,4.24,1.84,3.32,8.77,1.10,1.73,4.36,5.56,2.14,2.52,,
November,4.06,5.22,2.25,1.46,2.07,5.29,2.68,2.91,1.03,0.53,,
December,2.20,3.31,2.66,1.64,2.14,0.46,2.51,3.31,0.98,4.34,,
Total,36.87,27.97,23.74,36.80,24.51,24.58,25.04,27.84,25.36,27.66,,
Calc annual,36.87,27.97,23.74,36.80,24.51,24.58,25.04,27.84,25.36,27.66,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
