CHELTENHAM-DOWDESWELL (Reservoir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO984198,Long,-2.024648,Lat,51.876765,Elevation,375,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,0.61,3.45,2.7,1.39,2.56,2.16,3.62,0.82,2.17,0.58,3.91,3.23,1.25,0.95,3.46,3.21,0.76,5.36,1.18,1.26,0.8,2.76,1.21,4.12,5.05,0.87,3.56,1.36,1.68,2.32,4.9,3.89,2.86,3.58,1.65,3.6,1.93,3.97,3.31,4.39,1.26,5.48,1.66,3.05,2.92,2.6,0.67,,4.28,3.23,5.83,2.24,2.52,2.94,5.81,2.02,1.79,2.2,2.09,5.3,1.41,0.35,3.14,2.25,1.01,1.44,2.06,3.59,2.31,2.67,4.73,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.71,0.72,0.02,1.53,3.4,2.13,0.12,0.41,2.97,1.53,3.28,7.05,1.42,1.09,1.94,6.41,0.93,1.73,1.27,0.87,0.64,3.75,1.26,2.62,1.06,2.81,5.44,4.72,1.14,1.49,2.66,1.08,0.26,3.64,6.7,0.75,4.83,1.92,3.58,2.21,0.51,0.42,2.35,0.23,4.31,0.42,2.51,,4.44,0.79,1.3,2.51,2.96,0.6,1.51,0.96,2.11,1.92,1.04,1.13,1.54,6.57,4.22,0.73,1.97,2.66,1.4,0.38,3.46,3.5,0.06,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,3.72,1.24,1.98,0.93,0.28,1.79,2.85,2.46,4.59,0.62,0.92,1.3,2.38,1.72,3.71,1.55,4.19,1.37,0.54,3.45,4.47,0.81,2.01,6.37,3.91,3.68,1.11,3.6,2.55,1.33,4.61,3.6,1.5,2.67,2.04,1.14,0.48,0.27,3.65,2.33,0.07,1.87,0.27,1.86,2.98,2.74,0.38,,4.13,0.25,2.24,2.23,2.79,2.06,0.89,0.37,1.17,0.86,5.66,1.43,1.38,1.68,4.25,2.53,0.85,2.58,1.61,0.9,2.28,1.48,2.82,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.61,0.89,1.1,0.75,0.02,2.84,3.16,0.76,1.66,2.32,2.34,0.9,2.99,2.51,2.12,1.48,2.46,0.65,2.59,2.45,2.44,2.99,0.75,0.09,3.96,1.89,1.27,1.01,1.63,2.55,2.13,4.75,1.25,3.3,2.85,3.22,2.03,3.89,2.15,0.75,1.13,3.17,3.43,3.12,0.88,2.47,4.58,,2.94,0.14,3.12,1.44,1.2,1.55,0.96,1.1,1.1,2.12,2.83,2.31,2.24,1.9,3.24,2.15,2.52,0.25,1.03,1.69,0.1,0.76,3.86,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.67,2.04,3.63,0.67,1.31,2.44,0.53,0.31,1.21,4.25,1.62,2.22,1.3,2.1,4.69,2.87,0.62,2.12,2.69,1.49,1.14,1.45,0.85,2.14,2.59,2.01,2.76,2.68,3.51,1.6,0.79,1.54,1.63,0.77,1.57,8.35,3.47,3.11,1.01,0.91,1.95,1.15,3.76,6.18,2.46,0.96,1.21,,2.33,2.18,1.02,1.89,1.87,4.13,3.05,0.75,2.07,3.17,1.81,3.57,2.32,2.12,3.03,2.43,2.43,2.21,4.35,0.6,1.23,2.76,0.79,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.97,2.23,0.76,2.18,1.18,2.22,0.91,2.04,2.81,1.1,2.06,1.25,2.31,3,5.25,1.08,3.36,3.68,2.47,1.25,3.49,3.04,2.02,6.32,0.86,3.6,1.69,2.2,2.49,1.05,1.21,2.9,0.23,0.72,0.33,2.31,0.13,2.24,3.03,2.35,1.44,3.09,3.38,1.44,2.35,1.16,3.08,,1.36,1.04,2.01,0.41,2.2,0.16,1.73,2.7,2.79,2.64,1.91,2.34,0.62,2.45,0.79,1.63,1.96,3.33,3.93,1.8,1.04,3.69,1.52,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.15,2.22,3.83,2.34,3.34,2.22,2.87,1.24,2.06,1.25,0.81,1.25,3.18,1.59,4.49,2.63,1.85,1.67,5.21,2.18,2.51,2.42,0.09,5.27,1.16,3.54,4.26,1.39,2.14,2.76,3.17,5.15,0.53,4.71,1.71,4.48,2.58,2.38,3.18,1.94,1.75,3.87,3.3,1.43,1.76,1.93,0.58,,2.57,2.71,4.97,3.63,3.04,2.24,0.61,2.25,1.31,1.09,2.69,0.71,0.93,3.07,1.77,0.41,3.22,2.65,0.21,1.95,3.55,2.99,1.98,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.18,2.8,5.74,3.44,2.24,2.51,2.09,2.75,4.85,3.05,2.14,3.37,1.98,2.85,3.04,1.67,5.27,1,1.96,2.42,2.24,4.76,1.32,8.2,0.84,1.64,4.71,3.52,6.08,1.12,2.78,1.29,2.41,4.94,2.34,2.92,1.57,1.5,3.7,2.36,1.92,2.84,4.38,2.99,0.39,1.99,1.45,,0.38,3.51,2.66,0.16,4.24,4.01,2.21,3.12,1.61,6.09,0.38,4.06,0.92,4.82,5.53,5.7,3.04,4.65,0.3,5.7,3.71,1.8,1.21,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.04,1.35,2.21,2.84,0.93,3.41,0.57,5.47,2.68,1.04,1.88,0.44,1.9,2,2.31,2.24,0.96,0.51,0.45,2.68,3.92,0.61,1.74,0.8,2.97,1.26,0.82,1.22,2.29,6.2,1.35,1.92,1.53,2.2,2.54,4.49,4.17,1.33,5.02,0.84,0.29,3.96,2.35,3.32,2.47,1.99,4,,1.74,2.51,0.72,0.89,0.59,1.73,2.1,2.69,1.51,3.87,2.09,3.1,1.84,3.58,2.92,1.16,3.02,3.17,0.6,2.99,3.26,3.63,0.25,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.3,1.69,8.09,2.64,2.05,3.88,3.01,3.99,1.62,3.66,2.19,2.99,1.31,2.79,7.09,1.13,1.27,5.04,7.19,1.4,5.22,3.24,2.66,3.75,4.42,2.64,3.34,5.08,3.62,1.27,1.97,2.39,1.35,0.71,5.68,4.43,2.8,2.75,1.48,5.44,4.58,1.94,0.73,4.64,3.73,1.34,4.22,,3.28,3.3,3.4,3.83,2,2.76,2.38,4.52,2.91,0.5,0.42,2.99,6,0.66,0.92,3.54,2.53,2.83,1.57,1.39,1.47,2.62,2.1,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,
