SWINTON-COUNCIL-OFFICES,,,,,,,,,,,,,,,,,,,,
Grid ref,SK457991,Long,-1.3127473,Lat,53.486638,Elevation,126,ft.,,,,,,,,,,,,
Station no,RR7896,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.28,1.95,0.58,2.57,0.96,1.29,1.76,2.14,1.05,,,,,,,,
February,,,,1.61,3.94,0.95,2.19,1.34,2.36,0.58,2.76,0.97,,,,,,,,
March,,,,2.69,2.02,2.06,1.3,1.17,3.01,2.96,0.65,0.96,,,,,,,,
April,,,,1.51,1.65,1.87,0.56,1.93,2.32,1.56,1.89,0.71,,,,,,,,
May,,,,2.48,2.15,0.54,1.3,3.37,2.16,1.97,1.81,0.65,,,,,,,,
June,,,,1.5,0.63,3.19,1.69,3.11,1.36,3.22,2.98,2.6,,,,,,,,
July,,,,2.17,2.28,1.81,1.29,2.17,1.85,4.24,2.15,0.2,,,,,,,,
August,,,,2.89,4.2,2.72,1.48,1.73,2.33,2.25,2.37,1.84,,,,,,,,
September,,,,2.68,0.96,1.04,0.82,0.46,1.15,2.09,0.36,2.35,,,,,,,,
October,,,,5.28,0.39,1.42,4.68,4.83,0.83,1.91,1.77,2.06,,,,,,,,
November,,,,1.08,0.97,3.08,2.67,2.08,0.95,0.38,3.29,2.97,,,,,,,,
December,,,,0.98,1.29,0.42,2.17,2.04,1.64,5.32,3.43,3.7,,,,,,,,
Total,,,,27.15,22.43,19.68,22.72,25.19,21.25,28.24,25.6,20.06,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is the Swinton Civic Hall, which is modern but the relationships to station and church are consistent with this location. Altitudes match.",,,,,,,,,,,,,,,,,,,,
