DOVER-BARTON-ROAD,,,,,,,,,,
Grid ref,TR293430,Long,1.2765971,Lat,51.140324,Elevation,150,ft,,
Station no,270,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,3.09,2.46,4.96,5.38,,,
February,,,,0.25,3.23,2.68,5.26,,,
March,,,,3.23,0.18,0.94,5.74,,,
April,,,,2.55,3.45,2.51,2.91,,,
May,,,,1.15,2.39,0.24,3.73,,,
June,,,,1.68,2.57,2.93,1.76,,,
July,,,,0.99,0.58,6.28,,,,
August,,,,2.02,4.06,1.25,,,,
September,,,,1.3,4.25,3.39,,,,
October,,,,2.24,4.51,3.11,,,,
November,,,,2.51,6.6,5.26,,,,
December,,,0.85,6.52,3.65,2.61,,,,
Total,,,,27.53,37.93,36.16,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1933 Dec Gauge moved,,,,,,,,,,
1937 Oct Gauge moved,,,,,,,,,,
1937 Jul-Sep estimated,,,,,,,,,,
