DOVER-BARTON-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR311425,Long,1.301963,Lat,51.135112,Elevation,55,ft,,,,,,,,,,,,,
Station no,270,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.83,4.99,1.47,2.99,2.73,2.08,2.58,,,,,,,
February,,,,,,,,4.41,1.4,0.97,2.14,3.21,0.79,2.15,,,,,,,
March,,,,,,,,3.19,3.05,0.28,2.44,0.52,1.61,1.65,,,,,,,
April,,,,,,,,1.94,3.37,1.16,2.01,2.66,3.07,1.55,,,,,,,
May,,,,,,,,0.63,2.58,1.52,3.52,2.25,2.14,1.7,,,,,,,
June,,,,,,,,4.45,2.11,2.09,1.07,0.93,1.07,2.96,,,,,,,
July,,,,,,,,6.47,1.05,1.36,4.22,4.23,3.76,1.23,,,,,,,
August,,,,,,,,4.7,1.41,1.96,4.12,4.46,0.76,0.92,,,,,,,
September,,,,,,,,3.76,1.28,0.84,4.15,1.53,2.45,6.88,,,,,,,
October,,,,,,,,1.81,7.26,4.52,1.8,1.09,9,2.15,,,,,,,
November,,,,,,,,3.46,6.86,6.52,6.25,3.91,1.46,2.02,,,,,,,
December,,,,,,,,5.14,4.95,7,3.52,0.8,0.72,,,,,,,,
Total,,,,,,,,42.79,40.31,29.69,38.23,28.32,28.91,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1933 Dec Gauge moved,,,,,,,,,,,,,,,,,,,,,
