GREAT CLACTON CLAY HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM181160,Long,1.16177,Lat,51.800091,Elevation,45,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.72,1.95,2.41,0.21,0.57,1.76,2.15,0.55,2.62,1.19,0.97,1.12,,,1.92,2.37,,2.81,0.87,1.59,2.6,2.3,1.59,1.74,2.9,1.29,1.92,0.98,1.62,1.29,2.91,1.31,1.65,1.85,1.28,1.22,1.41,3.72,3.13,3.24,2.74,4.5,1.63,2.14,2.35,3.42,1.6,1.66,0.93,2.22,2.38,1,1.55,1.54,1.77,0.87,1.83,2.52,3.44,1.11,3.24,2.02,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.93,1.36,2.91,0.6,0.83,0.66,1.43,0.7,1.8,0.78,1.27,1.08,,,1.06,0.57,,1.56,3.06,0.67,0.67,2.61,0.5,0.87,1.5,2.11,0.52,1.33,2.02,2.84,0.81,0.39,1.25,2.07,0.55,0.86,0.23,2.41,2.66,3.52,0.74,0.73,1.52,1.96,0.59,0.98,1.81,1.64,1.99,1.4,1.09,1,2.01,3.91,1.14,1.08,1.87,1.62,0.81,2.03,2.16,0.1,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.91,0.81,0.74,1.91,1.34,1.51,1.98,1.58,1.05,0.85,1.38,2.45,,,2.16,1.73,,1.11,3.48,1.6,0.77,1.85,0.7,0.83,1.3,1.07,0.81,0.83,0.14,1.23,1.98,0.11,1.64,0.73,0.9,1.23,2.31,0.95,0.51,2.44,0.9,2.01,2.66,2.21,2.06,0.3,0.25,1.24,1.24,4.37,0.79,0.78,0.5,2.2,2.98,0.35,2.24,1.85,0.96,0.9,0.79,0.95,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.04,2.35,0.85,1.49,0.57,1.46,0.9,2.49,0.65,1.65,2.15,1.74,,,0.28,1.83,,0.9,1.17,1.41,1.45,3.01,3.33,1.2,2.1,0.79,1.95,1.55,2.75,2.07,1.33,1.68,1.46,2.73,2.12,0.94,2.35,2.35,1.56,2.21,0.45,2.88,1.66,1.1,0.62,0.74,1.79,0.7,1.02,0.85,1.58,1.15,1.17,1.91,1.13,1.95,0.24,0.17,0.82,0.1,1.51,1.51,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.08,1.41,0.89,0.58,2.54,2.75,1.52,0.99,1.79,2.06,1.17,0.99,,,1.05,2.27,,2.05,1.8,1.16,2.01,0.58,0.98,0.77,0.4,1.07,3.18,2.43,0.97,1.22,1.61,0.99,2.41,2.14,2.54,1.66,1.7,0.98,0.16,2.63,1.89,2.15,1.26,1.41,1.93,1.4,0.33,1.76,1.36,0.57,1.57,1.91,1.31,2,1.23,1.48,1.31,3.52,1.02,1.16,2.75,0.31,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.32,0.71,2.17,0.69,2.55,2.9,1.03,4.1,2.32,1.79,1.12,2.93,,,1.72,0.76,,0.37,2.05,0.83,1.12,1.03,0.97,0.15,1.4,0.79,1.44,0.36,1.89,3.87,2.77,1.32,0.95,1.43,0.12,2.22,0.77,2.6,2.8,2.06,0.76,1.95,0.51,0.78,1.06,1.68,0.89,1.34,1.84,1.96,1.55,0.39,1.25,1.32,2.06,2.17,2.06,2.67,2.12,1.51,2.61,1.72,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.32,4.42,1.07,2.19,1.59,4.88,2.01,0.25,0.44,1.59,4.22,2.91,,,2.17,1.56,,3.75,0.96,1.63,3.86,2.06,3.41,0.38,2.4,0.75,3.19,1.22,1.67,4.43,1.91,2.74,3.66,3.1,2.81,1.81,1.05,0.44,2.92,3.34,1.25,1.74,3.2,1.64,1.78,3.61,2.21,1.95,1.87,1.09,1.23,0.6,1.72,1.84,0.82,2.94,2.34,0.16,2.93,3.21,2.26,0.33,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,1.43,0.45,1.78,1.28,1.55,3.94,0.95,2.17,0.37,1.31,1.62,2.21,,,4.63,0.57,,1.77,2.29,3.64,1.25,2.36,1.15,0.71,1,1.72,1.55,1.56,0.68,3.14,2.19,1.48,2.89,3.2,1.39,0.36,1.44,2.04,0.88,0.94,1.62,2.21,0.14,4.04,1.43,1.04,2.05,2.38,3.41,0.38,2.14,0.88,1.44,4.07,2.28,1.18,3.74,1.83,3.62,1.38,3.52,0.53,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.25,2.23,1.06,0.99,1.33,1.66,1.47,1.11,1.79,0.43,1.05,2.25,,,1.07,0.84,,2.01,0.85,0.92,3.34,0.51,2.93,1.45,3.2,1.44,2.01,2.36,0.88,3.16,0.75,0.27,3.91,1.18,1.77,3.33,1.95,3.39,2.16,2.94,1.95,0.56,1.06,0.3,1.85,2.44,2.55,1.4,1.72,1.37,1.48,2.02,2.83,3.54,4.6,1.4,1.06,1.21,1.32,2.66,3.7,0.04,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.51,1.93,1.65,2.07,1.9,3.89,1.55,0.97,2.48,2.63,1.19,3.39,,,2.89,3.05,,0.87,1.72,2.5,1.99,0.77,0.95,0.5,1.4,4.28,4.09,2.34,2.5,1.38,1.95,2.53,0.96,0.69,5.69,1.38,1.71,1.92,1.12,1.52,1.9,9.08,2.22,1.97,3.37,1.62,4.41,1.9,1.03,0.2,0.97,5.39,0.31,0.93,1.96,1.64,1.25,3.24,0.76,1.33,2.2,2,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.47,2.87,1.46,0.92,2.04,2.89,1.29,2.4,3.65,1.62,0.88,1.53,,,1.34,2.3,,2.16,3,1.26,2.18,1.94,0.74,1.47,1.5,2.24,2.36,1.8,3.07,2.48,2.13,3.84,4.07,1.41,1.16,1.82,1.71,3.02,3.16,1.58,1.84,4.46,6.06,2.59,2.66,1.85,3.54,1.79,3.39,0.94,1.26,1.8,3.47,2.91,4.74,0.91,2.99,0.59,0.62,1.53,1.05,2.64,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,1.51,2.54,2.25,2.56,2.13,0.91,1.81,0.7,1.64,1.73,2,3.38,,,1.82,0.65,,5.05,1.99,1.36,1.92,3.08,2.86,1.03,1.4,2.27,2.29,1.92,0.67,2.83,3.17,3.2,1.91,0.58,0.44,0.68,3.09,2.07,1.49,4.12,3.04,1.35,2.23,1.43,2.12,1.41,0.82,2.05,2.77,2.87,1.79,1.3,1.48,1.47,2.4,1.66,1.14,1.64,1.95,2.14,3.43,3.09,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,17.49,23.03,19.24,15.49,18.94,29.21,18.09,18.01,20.6,17.63,19.02,25.98,,,22.11,18.5,,24.41,23.24,18.57,23.16,22.1,20.11,11.1,20.5,19.82,25.31,18.68,18.86,29.94,23.51,19.86,26.76,21.11,20.77,17.51,19.72,25.89,22.55,30.54,19.08,33.62,24.15,21.57,21.82,20.49,22.25,19.81,22.57,18.22,17.83,18.22,19.04,27.64,27.11,17.63,22.07,21.02,20.37,19.06,29.22,15.24,30.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
