BUSHEY-HEATH-HIGHFIELD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ152938,Long,-0.33697034,Lat,51.631227,Elevation,503,ft.,,,,,,,,,,,,,
Station no,874,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.59,3.2,1.26,2.95,1.96,3.35,1.69,3.93,1.24,2.75,1.38,1.75,1.82,1.54,,,,,,
February,,0.21,2.34,3.43,0.45,2.99,2.4,3.64,1.58,0.63,0.7,1.66,0.08,1.91,0.46,,,,,,
March,,1.35,1.73,2.81,0.99,0.55,0.27,2.43,1.94,0.01,1.26,0.16,1.37,2.58,2.1,,,,,,
April,3.67,1.05,3.05,1.46,3.66,1.46,3.26,1.67,1.08,1.24,2.13,3.47,2.2,1.18,2.26,,,,,,
May,0.78,1.13,0.94,1.75,4.1,2.17,2.16,1.22,2.05,1.86,2.74,2.79,4.29,1.75,0.73,,,,,,
June,2.37,0.17,1.42,0.31,2.9,0.08,3.26,2.84,2.68,1.42,1.75,1.43,1.14,1.61,0.75,,,,,,
July,5.68,0.23,3.72,3.18,3.98,3.89,2.35,2.86,2.49,2.19,1.88,3.13,2.31,1.35,1.16,,,,,,
August,1.57,1.43,2.76,1.83,2.83,2.46,1.24,3.86,2.44,1.04,3.79,4.47,0.88,0.58,2.31,,,,,,
September,2.31,2.74,1.78,1.8,3.44,3.23,2.04,5.56,1.33,0.53,3.17,2.32,2.28,2.58,1.66,,,,,,
October,1.63,0.86,0.9,5.76,3.51,3.31,2.61,2.39,4.14,3.66,0.99,0.74,4.63,1.41,1.48,,,,,,
November,1.42,1.95,1.29,1.43,2.56,1.7,5.07,2.95,2.57,6.24,3.75,3.12,1.63,1.15,2.14,,,,,,
December,2.49,1.26,2.62,2.79,3.47,2.19,0.33,3.62,2.48,5.22,2.33,1.08,0.68,0.38,5.71,,,,,,
Total,,14.97,25.75,27.81,34.84,25.99,28.34,34.73,28.71,25.28,27.24,25.75,23.24,18.3,22.3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Highfield. Altitudes match.,,,,,,,,,,,,,,,,,,,,,
