LYDBROOK VIADUCT HO,,,,,,,,,,,,
Grid ref,SO595169,Long,-2.589361,Lat,51.849217,,,,,,,
Station no,2126,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.61,0.80,,
February,,,,,,,,,0.76,0.48,,
March,,,,,,,,,3.73,3.35,,
April,,,,,,,,,2.65,2.64,,
May,,,,,,,,,1.88,1.12,,
June,,,,,,,,,1.11,2.18,,
July,,,,,,,,,1.78,2.04,,
August,,,,,,,,,2.48,2.73,,
September,,,,,,,,,3.58,2.16,,
October,,,,,,,,,2.09,5.13,,
November,,,,,,,,,0.96,1.40,,
December,,,,,,,,,2.46,5.64,,
Total,,,,,,,,,24.09,29.67,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.09,29.67,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
