MACHYNLLETH-EVANS,,,,,,,,,,
Grid ref,SH745009,Long,-3.8540729,Lat,52.591366,Elevation,40,ft.,,
Station no,RR6558,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,6.1,,,,,,,
February,,,1.02,,,,,,,
March,,,4.4,,,,,,,
April,,-999,6.81,,,,,,,
May,,-999,2.4,,,,,,,
June,,4.05,5.44,,,,,,,
July,,7.12,7.65,,,,,,,
August,,5.38,4.68,,,,,,,
September,,4.5,,,,,,,,
October,,2.69,,,,,,,,
November,,8.98,,,,,,,,
December,,3.8,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
"NGR is Machynlleth Church, the observer is  Rev J Evans.",,,,,,,,,,
Cannot find vicarage therefore could be +/- 500 yards or more,,,,,,,,,,
Apr/May 1861 combined reading = 1.99,,,,,,,,,,
