ADLINGTON-STYPERSON-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ929800,Long,-2.1080362,Lat,53.316882,Elevation,500,ft.,,,,,,,,,,,,
Station no,2728/3/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.32,5.03,2.58,3.7,2.1,7.04,2.04,1.69,3.32,3.15,1.55,3.24,2.54,4.36,1.88,3.46,3.46,4.71
February,,,2.33,1.31,2.96,4.02,0.97,1.97,1.48,4.03,2.77,1.05,1.66,3.04,1.98,1.04,2.64,,0.39,2.21
March,,,1.07,0.39,1.17,0.95,4.83,1.18,1.69,1.47,4.1,1.96,2.7,2.06,2.1,1.01,2.71,1.24,1.76,1.16
April,,,1.41,2.34,1.78,1.65,2.39,1.51,2.9,3.04,1.92,3.64,2.62,0.63,2.05,2.53,0.32,1.06,2.38,1.54
May,,4.38,2.59,2.56,4.05,1.72,2.26,1.3,2.85,0.79,1.63,1.85,1.92,3.06,2.72,1.21,1.34,3.11,0.54,1.77
June,,0.89,2.91,2.62,3.31,3.61,2.46,4.45,1.44,2.23,1.42,2.45,2.65,3.01,2.82,2.8,1.51,,1.8,1.72
July,,3.6,1.57,3.14,1.55,4.61,3.22,3.21,1.84,2.85,3.22,3.64,4.24,5.16,0.89,5.22,4.67,4.39,3.52,5.02
August,,3.53,3.88,2.04,3.44,4.89,0.52,4.49,2.5,3.71,4.32,1.64,4.86,4.55,0.9,9.35,3.7,3.85,0.49,
September,,2.26,4.27,2.87,1.87,4.75,1.87,2.17,0.83,5.17,1.94,3.62,2.5,4.2,1.86,2.21,6.61,3.76,0.17,
October,,4.74,2.83,3.76,5.75,0.48,0.58,2.4,2.96,1.99,0.9,3.09,2.06,6.41,1.99,2.09,,3.36,3.68,3.33
November,,0.96,2.49,5.88,0.37,4.4,3.28,2.2,4.17,4.43,6.52,2.13,2.9,5.96,1.85,1.37,1.8,1.6,3.73,4.69
December,,3.29,1.66,2.2,2.41,3.3,3.18,2.79,3.92,3.09,3.44,3.34,,4.73,3.7,3.83,3.78,3.06,5.3,3.29
Total,,,31.33,34.14,31.24,38.08,27.66,34.71,28.62,34.49,35.5,31.56,,46.05,25.4,37.02,,,27.22,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Styperson Park.,,,,,,,,,,,,,,,,,,,,
"Stated altitude is about 50 ft. too high, but the gauge may be 250m E nearer Styperson Cottage (cannot find the house) and a better altitude match",,,,,,,,,,,,,,,,,,,,
