ADLINGTON (STYPERSON HOUSE),,,,,,,,,,,,
Grid ref,SJ929800,Long,-2.108036,Lat,53.316882,,,,,,,
Station no,2728/3/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.32,3.15,1.55,3.24,2.54,4.36,1.88,3.46,3.46,4.71,,
February,2.77,1.05,1.66,3.04,1.98,1.04,2.64,4.71,0.39,2.21,,
March,4.10,1.96,2.70,2.06,2.10,1.01,2.71,1.24,1.76,1.16,,
April,1.92,3.64,2.62,0.63,2.05,2.53,0.32,1.06,2.38,1.54,,
May,1.63,1.85,1.92,3.06,2.72,1.21,1.34,3.11,0.54,1.77,,
June,1.42,2.45,2.65,3.01,2.82,2.80,1.51,6.28,1.80,1.72,,
July,3.22,3.64,4.24,5.16,0.89,5.22,4.67,4.39,3.52,5.02,,
August,4.32,1.64,4.86,4.55,0.90,9.35,3.70,3.85,0.49,4.69,,
September,1.94,3.62,2.50,4.20,1.86,2.21,6.61,3.76,0.17,3.30,,
October,0.90,3.09,2.06,6.41,1.99,2.09,3.45,3.36,3.68,3.33,,
November,6.52,2.13,2.90,5.96,1.85,1.37,1.80,1.60,3.73,4.69,,
December,3.44,3.34,,4.73,3.70,3.83,3.78,3.06,5.30,3.29,,
Total,35.50,31.56,,46.05,25.40,37.02,34.41,39.88,27.22,37.43,,
Calc annual,35.50,31.56,29.66,46.05,25.40,37.02,34.41,39.88,27.22,37.43,,
Difference,0.00,-0.00,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
