CUPAR KERNBACK,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 41864 15500,Long,-2.941722,Lat,56.328299,Elevation,104,ft,,,,,,,,,,,,
Station no,RR2200,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,1.22,0.8,1.16,,,,,,,
February,,,,,,,,,,,2.62,4.34,2.19,,,,,,,
March,,,,,,,,,,,2.21,2.79,2.33,,,,,,,
April,,,,,,,,,,,3.1,1.24,4.82,,,,,,,
May,,,,,,,,,,,0.91,1.36,2.7,,,,,,,
June,,,,,,,,,,4.62,1.9,2.33,2.47,,,,,,,
July,,,,,,,,,,4.95,2.34,3.05,,,,,,,,
August,,,,,,,,,,3.72,0.65,5.54,,,,,,,,
September,,,,,,,,,,2.87,3.55,3.67,,,,,,,,
October,,,,,,,,,,0.88,1.95,5.72,,,,,,,,
November,,,,,,,,,,1.88,3.68,4.07,,,,,,,,
December,,,,,,,,,,1.5,2.16,2.68,,,,,,,,
Total,,,,,,,,,,,26.29,37.59,,,,,,,,
