WIMBORNE-CLEVEDON-LODGE,,,,,,,,,,
Grid ref,SU014001,Long,-1.98092,Lat,50.80085,Elevation,112,ft,,
Station no,1611/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.03,4.42,4.11
February,,,,,,,,3.11,0.29,3.43
March,,,,,,,,1.81,4.19,2.15
April,,,,,,,,0.75,3.3,2.25
May,,,,,,,,2.53,1.37,2.46
June,,,,,,,2.31,5.2,1.63,2.39
July,,,,,,,3.38,2.14,1.73,3.8
August,,,,,,,4.03,3.37,2.29,5.39
September,,,,,,,3.32,4.33,0.22,7.05
October,,,,,,,3.17,4.48,3.3,10.9
November,,,,,,,2.28,2.58,4.31,6.98
December,,,,,,,2.79,4.42,8.47,3.61
Total,,,,,,,,39.75,35.52,54.52
,,,,,,,,,,
1956 Howard gauge 4ft above ground Over sheltered site Not printed,,,,,,,,,,
1957 June 1 New gauge installed on new site 40ft S at 1ft 8.5in above ground,,,,,,,,,,
1960 Apr 25 Inspection o/s most directions General area large trees which may reduce winds and consequent o/s,,,,,,,,,,
,,,,,,,,,,
SRC_ID 7911,,,,,,,,,,
1956-1976,,,,,,,,,,
