COLONSAY,,,,,,,,,,,,
Grid ref,NR393966,Long,-6.192748,Lat,56.090861,,,,,,,
Station no,5444/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.11,5.89,3.74,6.56,4.17,4.53,7.09,5.08,1.71,3.10,,
February,3.84,2.30,2.58,4.23,3.24,2.23,-999.00,4.66,1.18,3.54,,
March,3.82,3.48,1.90,4.23,1.32,2.12,4.64,1.19,4.03,1.91,,
April,3.08,2.07,2.84,1.65,3.75,2.23,2.23,1.93,3.32,3.42,,
May,0.94,1.55,4.50,3.99,2.78,2.67,2.49,3.21,1.34,2.89,,
June,2.30,3.68,2.11,4.60,3.61,2.73,3.51,3.75,3.21,2.05,,
July,4.44,4.34,5.22,4.48,0.38,4.54,5.15,3.08,5.78,3.76,,
August,3.75,5.35,5.97,4.78,1.18,5.33,4.37,4.22,2.53,4.69,,
September,5.60,4.41,6.04,8.34,4.52,5.18,4.61,4.31,1.93,3.16,,
October,2.77,5.06,3.77,8.18,5.89,4.81,5.94,5.46,5.83,3.11,,
November,7.23,2.80,9.50,8.53,2.47,3.42,2.87,3.11,6.01,4.87,,
December,8.07,5.95,5.17,7.47,5.97,5.60,4.37,5.48,7.60,7.39,,
Total,51.95,46.88,53.34,67.04,39.28,45.39,51.21,45.48,44.47,43.89,,
Calc annual,51.95,46.88,53.34,67.04,39.28,45.39,47.27,45.48,44.47,43.89,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,3.94,0.00,0.00,0.00,,
