COLONSAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR393966,Long,-6.192748,Lat,56.090861,Elevation,87,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5444/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.67,3.89,3.14,6.67,6.75,2.95,2.9,0.62,6.84,5.47,6.81,7.56,7.21,3.73,8.33,6.44,5.04,6.11,5.89,3.74,6.56,4.17,4.53,7.09,5.08,1.71,3.1
February,,,,1.08,5.42,3.05,4.37,2.79,4.78,3.38,2.56,2.84,4.94,2.11,6.18,3.98,0.07,3.9,4.43,6.13,3.84,2.3,2.58,4.23,3.24,2.23,3.94,4.66,1.18,3.54
March,,,,3.61,2.02,3.62,1.15,4.37,3.47,3.37,3.63,2.61,2.67,2.48,3.43,2.6,2.65,3.6,3.21,2.87,3.82,3.48,1.9,4.23,1.32,2.12,4.64,1.19,4.03,1.91
April,,,,2.21,3.3,1.11,2.88,0.5,1.44,3.1,1.91,2.1,4.03,3.52,1.32,1.9,4.75,3.46,5.65,3.72,3.08,2.07,2.84,1.65,3.75,2.23,2.23,1.93,3.32,3.42
May,,,,2.98,1.36,2.96,2.56,3.45,1.41,2.32,1.55,3.19,3.66,3.49,3.91,0.73,4.44,1.46,2.46,1.9,0.94,1.55,4.5,3.99,2.78,2.67,2.49,3.21,1.34,2.89
June,,,,2.99,3.05,2.5,3.03,4.99,2.42,1.85,1.71,3.27,4.04,3.26,4.11,4.17,4.03,4.13,1.69,3.31,2.3,3.68,2.11,4.6,3.61,2.73,3.51,3.75,3.21,2.05
July,,,,2.97,3.35,3.36,6.12,4.24,6.13,3.88,3.05,5.24,3.96,4.58,5.75,5.24,4.1,5.26,1.84,7.42,4.44,4.34,5.22,4.48,0.38,4.54,5.15,3.08,5.78,3.76
August,,,,4.69,5.04,3.68,3.88,4.56,2.16,3.46,5.53,6.26,7.49,3.89,2.19,4.61,0.19,5.14,5.5,5.4,3.75,5.35,5.97,4.78,1.18,5.33,4.37,4.22,2.53,4.69
September,,,,6.16,8.65,2.91,5.01,3.97,5,5.34,3.37,7.64,4.81,,4.81,7,4.36,6.92,3.09,11.22,5.6,4.41,6.04,8.34,4.52,5.18,4.61,4.31,1.93,3.16
October,,,,7.45,10.04,5.66,4.09,8.61,1.55,8.1,5.7,6.96,10.21,,6.54,0.8,2.74,7.73,6.56,7.28,2.77,5.06,3.77,8.18,5.89,4.81,5.94,5.46,5.83,3.11
November,,,,1.74,5.24,5.04,2.3,8.25,5.3,7.37,4.41,1.89,5.21,6.89,1.64,4.55,7.25,4.54,8.05,5.28,7.23,2.8,9.5,8.53,2.47,3.42,2.87,3.11,6.01,4.87
December,,,,4.76,4.7,8.44,2.62,5.45,4.8,6.87,3.05,7.56,4,5.87,6.17,5.72,3.73,7.29,8.18,4.09,8.07,5.95,5.17,7.47,5.97,5.6,4.37,5.48,7.6,7.39
Total,,,,45.31,56.06,45.47,44.68,57.93,41.41,51.94,37.09,56.4,60.49,,53.61,48.51,42.04,61.76,57.1,63.66,51.95,46.88,53.34,67.04,39.28,45.39,51.21,45.48,44.47,43.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Sep Oct Estd Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Feb Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5444/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,680093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
