GLAISDALE - THE GABLES GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ775054,Long,-0.807,Lat,54.438,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946
January,0.54,2.41,5.22,1.94,1.02,1.85,2.30,4.15,5.79,2.76,4.86,1.38,-999.00,2.36,4.81,4.08,2.52,5.90,3.30,2.95,2.56,3.78,2.84,6.35,3.66,6.09,2.91,3.58,3.84,2.50,3.66,6.45,5.61,4.16,5.74,1.28,,,,,,2.17
February,1.37,3.12,1.87,1.82,1.57,5.16,1.62,1.61,1.20,2.96,5.92,4.53,-999.00,2.06,1.49,1.29,0.32,2.88,5.38,1.88,4.54,1.99,2.14,2.04,1.28,2.10,2.49,1.33,3.11,1.10,5.03,3.82,3.03,1.57,2.51,2.91,,,,,,1.58
March,2.42,2.58,0.94,3.91,9.54,1.12,2.89,3.70,3.81,2.69,1.89,5.01,2.78,1.78,5.49,4.30,1.62,3.47,1.62,1.18,2.72,1.03,2.30,3.85,0.16,3.71,1.59,2.74,2.32,4.30,0.99,2.10,6.12,0.14,4.18,1.80,,,,,,1.55
April,2.52,0.99,1.78,2.95,3.94,2.71,1.04,0.22,4.04,1.15,1.28,1.72,3.27,1.86,2.91,5.08,1.70,2.54,2.12,2.47,3.19,1.72,2.34,1.87,1.65,4.98,5.54,2.40,1.43,4.00,2.86,2.01,3.02,0.24,1.84,2.62,,,,,,2.93
May,1.46,4.17,3.09,2.30,1.49,2.29,1.61,3.24,1.64,2.04,1.89,2.82,1.70,2.11,0.97,1.84,1.96,1.20,3.78,5.31,2.93,2.51,1.48,2.20,1.60,1.52,2.49,9.18,2.78,1.52,1.95,2.21,4.07,4.13,3.60,1.25,,,,,,2.48
June,1.85,0.89,2.69,0.71,4.56,2.22,5.55,5.18,1.54,2.72,0.47,2.59,2.05,0.74,1.87,0.66,0.50,1.98,1.33,2.99,0.63,4.01,3.93,6.64,2.51,1.55,6.29,1.26,2.17,1.56,2.71,4.48,0.84,2.57,4.53,0.99,,,,,,2.72
July,0.94,1.92,1.55,2.14,3.28,2.87,1.19,6.40,1.22,6.47,5.54,1.39,1.90,3.92,4.48,5.98,1.61,5.08,3.34,4.84,2.92,3.94,2.40,0.82,3.12,9.77,5.83,4.57,1.75,2.92,0.33,3.18,1.52,2.57,2.60,6.49,,,,,,3.92
August,1.93,1.98,2.06,2.21,3.93,3.56,3.75,4.42,1.47,1.12,3.26,2.78,8.08,3.02,2.35,2.77,6.19,4.43,4.25,2.70,3.31,3.51,6.46,3.81,3.82,4.32,2.43,2.51,0.21,3.53,2.57,1.87,1.36,3.33,3.59,2.77,,,,,,5.30
September,2.40,0.78,0.52,2.80,2.59,1.15,2.19,2.43,0.88,2.24,3.48,1.76,0.84,5.42,1.21,1.49,1.00,3.74,2.75,3.04,2.79,1.47,6.51,1.67,0.59,6.23,6.27,3.38,,1.79,6.15,2.51,1.99,2.73,2.77,2.47,,,,,,4.16
October,4.88,5.22,6.34,1.41,3.88,3.26,3.69,3.54,3.53,2.48,2.27,4.26,4.06,2.97,5.47,2.17,2.16,2.31,3.23,4.63,,4.93,3.25,3.98,3.87,3.23,2.74,5.43,5.37,2.44,4.51,2.44,3.09,4.82,8.13,4.91,,,,,,1.56
