DALRY CARSEHEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,NS303500,Long,-4.7028681,Lat,55.713636,Elevation,160,ft,,,,,,,,,,,,
Station no,RR8438,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,4.66,8.5,2.36,7.2,5.34,1.75,2.16,0.57,5.06,6.02,8.47,3.46,5.34,2.73,4.27,3.8
February,,,,,1.35,1.22,6.3,6.66,3.03,3.58,3.15,5.48,3.93,4.11,5.06,3.85,1.96,2.01,1.67,3.79
March,,,,,4.49,2.33,6.51,3.41,2.52,4.88,3.29,4.83,3.83,1.02,2.76,2.33,3.68,2.59,4.15,2.46
April,,,,,2.09,1.86,1.91,3.46,3.38,1.5,3.85,2.09,3.26,2.3,1.22,2.13,1.7,2.71,2.8,2.95
May,,,,,2.27,2.47,0.89,1.83,3.41,3.36,1.82,2.77,2.14,2.38,3.57,2.51,2.77,1.84,4.23,3.8
June,,,,,1.38,3.44,3.51,4.97,3.51,6.15,2.37,4.62,5.01,2.35,1.56,1.29,1.57,1.33,4.29,1.26
July,,,,,2.29,2.04,2.92,4.86,1.36,5.51,2.69,4.19,5.87,3.06,5.2,2.24,3.62,2.69,5.86,3.51
August,,,,,5.3,5.28,6.51,8.16,3.55,4.87,1.64,4.01,4.35,5.61,3.13,3.16,2.31,3.41,3.5,6.63
September,,,,,5.81,5.35,3.63,2.18,5.27,7.55,3.52,2.32,5.22,3.21,4.29,7.08,5.07,4.98,2.48,2.6
October,,,,,8.61,5.82,8.09,6.77,7.64,3.21,1.05,2.76,5.79,4.25,4.92,4.76,3.67,1.73,1.51,4.01
November,,,,,5.79,5.96,3.6,7.28,1.62,1.74,5.46,5.19,7.14,7.47,3.63,2.93,4.99,3.42,6.92,3.89
December,,,,,2.58,2.81,5.79,7.14,1.68,2.71,5.8,3.85,5.5,6.21,7.06,3.24,4.58,4.17,4.03,4.65
Total,,,,,46.62,47.08,52.02,63.92,42.31,46.81,36.8,42.68,57.1,47.99,50.87,38.98,41.26,33.61,45.71,43.35
