MONMOUTH WYASTONE LEYS,,,,,,,,,,,,,,,,,,,,
Grid ref,SO532157,Long,-2.6806515,Lat,51.837935,Elevation,200,ft,,,,,,,,,,,,
Station no,RR7158,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,5.4,3.27,0.81,1.07,3.73,2.67,,2.56,,4.93,0.55,3.11,,
February,,,,,,,0.73,0.46,1.28,1.47,0.81,0.03,,3.63,,0.14,0.4,2.86,,
March,,,,,,,3.35,1.39,4.39,4.27,1.31,2.37,,0.46,,3.28,2.58,5.08,,
April,,,,,,,2.68,1.31,2.05,6.75,1.15,1.8,,0.17,,2.83,1.06,2.57,,
May,,,,,,,5.15,2.47,1.67,3.9,2.19,4.48,,2.23,,0.87,0.2,1.34,,
June,,,,,,,1,0.79,4.11,0.57,2.38,3.86,,1.2,,1.5,2.94,3.68,,
July,,,,,,,3.56,1.93,5.26,3.02,2.76,1.71,,3.28,,2.92,1.19,1.46,,
August,,,,,,,0.5,1.66,1.7,2.93,3.41,5.79,,1.82,,3.08,1.5,5.41,,
September,,,,,,,2.72,2.38,0.87,2.17,1.33,1.69,,0.97,,0.9,6.26,3.5,,
October,,,,,,,5.37,2.42,1.05,3.43,1.28,8.04,,2.48,,3,3.09,1.98,,
November,,,,,,,3.12,3.31,8.68,1.16,2,3.64,,1.8,,5.23,0.95,2.77,,
December,,,,,,,4.44,2.04,3.69,1.47,0.98,4.24,,4.4,,2.61,5.16,5.05,,
Total,,,,,,,38.02,23.43,35.56,32.21,23.33,40.32,,25,,31.29,25.88,38.81,,
